homology_cluster_id,candidate,known_defense,total_genes,homology_type
2209,6,12,18,Expanded_Known_Family
7650,6,12,18,Expanded_Known_Family
4570,14,4,18,Expanded_Known_Family
815,10,8,18,Expanded_Known_Family
10362,12,6,18,Expanded_Known_Family
6137,12,6,18,Expanded_Known_Family
450,0,18,18,Known_Family_Only
8486,15,3,18,Expanded_Known_Family
1868,18,0,18,Potential_Novel_Family
10261,13,4,17,Expanded_Known_Family
10338,12,5,17,Expanded_Known_Family
385,12,5,17,Expanded_Known_Family
633,15,2,17,Expanded_Known_Family
2550,14,3,17,Expanded_Known_Family
212,14,3,17,Expanded_Known_Family
13228,17,0,17,Potential_Novel_Family
1046,15,2,17,Expanded_Known_Family
4713,7,10,17,Expanded_Known_Family
9738,14,3,17,Expanded_Known_Family
3129,9,8,17,Expanded_Known_Family
5222,14,3,17,Expanded_Known_Family
11163,10,7,17,Expanded_Known_Family
7066,13,4,17,Expanded_Known_Family
9924,8,9,17,Expanded_Known_Family
4008,13,3,16,Expanded_Known_Family
5318,7,9,16,Expanded_Known_Family
4931,12,4,16,Expanded_Known_Family
3691,16,0,16,Potential_Novel_Family
7379,14,2,16,Expanded_Known_Family
4597,13,3,16,Expanded_Known_Family
3783,6,10,16,Expanded_Known_Family
2728,8,8,16,Expanded_Known_Family
1315,15,1,16,Expanded_Known_Family
4353,12,4,16,Expanded_Known_Family
2274,6,10,16,Expanded_Known_Family
12960,16,0,16,Potential_Novel_Family
7458,10,6,16,Expanded_Known_Family
262,0,16,16,Known_Family_Only
2799,11,5,16,Expanded_Known_Family
5781,14,2,16,Expanded_Known_Family
2928,13,3,16,Expanded_Known_Family
7040,8,8,16,Expanded_Known_Family
13818,12,4,16,Expanded_Known_Family
7130,12,3,15,Expanded_Known_Family
9971,8,7,15,Expanded_Known_Family
5342,3,12,15,Expanded_Known_Family
13534,9,6,15,Expanded_Known_Family
6151,8,7,15,Expanded_Known_Family
9542,10,5,15,Expanded_Known_Family
3762,14,1,15,Expanded_Known_Family
8061,11,4,15,Expanded_Known_Family
11364,11,4,15,Expanded_Known_Family
12855,6,9,15,Expanded_Known_Family
2220,12,3,15,Expanded_Known_Family
2096,10,5,15,Expanded_Known_Family
5056,10,5,15,Expanded_Known_Family
7637,9,6,15,Expanded_Known_Family
9622,8,7,15,Expanded_Known_Family
8236,11,4,15,Expanded_Known_Family
2672,7,7,14,Expanded_Known_Family
1481,8,6,14,Expanded_Known_Family
2604,11,3,14,Expanded_Known_Family
1850,9,5,14,Expanded_Known_Family
651,9,5,14,Expanded_Known_Family
10605,8,6,14,Expanded_Known_Family
2253,5,9,14,Expanded_Known_Family
13258,12,2,14,Expanded_Known_Family
603,9,5,14,Expanded_Known_Family
626,6,8,14,Expanded_Known_Family
13252,12,2,14,Expanded_Known_Family
2449,9,5,14,Expanded_Known_Family
4759,11,3,14,Expanded_Known_Family
1490,10,4,14,Expanded_Known_Family
2719,10,4,14,Expanded_Known_Family
3224,7,7,14,Expanded_Known_Family
1289,6,8,14,Expanded_Known_Family
8204,13,1,14,Expanded_Known_Family
3901,6,8,14,Expanded_Known_Family
7966,13,1,14,Expanded_Known_Family
2138,8,6,14,Expanded_Known_Family
3316,10,4,14,Expanded_Known_Family
3434,11,3,14,Expanded_Known_Family
5017,7,7,14,Expanded_Known_Family
1478,8,6,14,Expanded_Known_Family
309,9,5,14,Expanded_Known_Family
71,9,5,14,Expanded_Known_Family
5380,3,10,13,Expanded_Known_Family
880,11,2,13,Expanded_Known_Family
9173,4,9,13,Expanded_Known_Family
5260,12,1,13,Expanded_Known_Family
2069,7,6,13,Expanded_Known_Family
3261,10,3,13,Expanded_Known_Family
8838,10,3,13,Expanded_Known_Family
7475,9,4,13,Expanded_Known_Family
9722,12,1,13,Expanded_Known_Family
6727,11,2,13,Expanded_Known_Family
6605,9,4,13,Expanded_Known_Family
1357,10,3,13,Expanded_Known_Family
2055,11,2,13,Expanded_Known_Family
4535,8,5,13,Expanded_Known_Family
2114,4,9,13,Expanded_Known_Family
13858,7,6,13,Expanded_Known_Family
8159,9,4,13,Expanded_Known_Family
7279,4,9,13,Expanded_Known_Family
4184,1,12,13,Expanded_Known_Family
3839,11,2,13,Expanded_Known_Family
11849,3,10,13,Expanded_Known_Family
1313,5,8,13,Expanded_Known_Family
3116,5,8,13,Expanded_Known_Family
7914,10,3,13,Expanded_Known_Family
