composition,family_count,system_frequency,has_novel_family,novel_families
"(9414, 11996)",2,5,True,[11996]
"(3712, 9558)",2,5,False,[]
"(852, 9511)",2,5,True,[9511]
"(5974, 6523)",2,5,False,[]
"(1078, 6179)",2,5,True,[1078]
"(1791, 3493)",2,5,False,[]
"(4031, 6036)",2,5,False,[]
"(2023, 6402)",2,5,False,[]
"(2563, 8464)",2,5,False,[]
"(10482, 12218)",2,5,False,[]
"(3390, 5306)",2,5,False,[]
"(5392, 8232)",2,5,False,[]
"(140, 5862, 7919)",3,5,True,[7919]
"(184, 1823, 3213, 7456, 11221, 11908)",6,5,False,[]
"(6478, 9915)",2,5,True,[9915]
"(9025, 11083)",2,5,False,[]
"(1434, 3368)",2,5,True,[1434]
"(7009, 10048)",2,5,False,[]
"(7027, 8535)",2,5,False,[]
"(11066, 12329)",2,5,False,[]
"(419, 2823)",2,5,False,[]
"(948, 6980)",2,5,True,"[948, 6980]"
"(10920, 12287)",2,5,False,[]
"(2108, 9153)",2,5,False,[]
"(863, 12576)",2,5,True,[12576]
"(4175, 5926)",2,5,False,[]
"(7341, 9182)",2,5,False,[]
"(6813, 8660)",2,5,True,[8660]
"(672, 805)",2,5,False,[]
"(1358, 7400)",2,5,True,[1358]
"(5392, 7504)",2,5,False,[]
"(8277, 10139)",2,5,True,[8277]
"(966, 4120)",2,5,False,[]
"(11442, 11507)",2,5,False,[]
"(1361, 2561)",2,5,False,[]
"(4249, 8408)",2,5,False,[]
"(2214, 4483)",2,5,False,[]
"(1839, 7719)",2,5,False,[]
"(232, 2424, 2431, 8159)",4,5,False,[]
"(3898, 8050)",2,5,False,[]
"(3438, 11911)",2,5,False,[]
"(4705, 5038)",2,5,False,[]
"(1371, 11583)",2,5,False,[]
"(3933, 7394)",2,5,False,[]
"(11442, 11929)",2,5,False,[]
"(5728, 11053)",2,5,True,[5728]
"(5392, 8344)",2,5,False,[]
"(3750, 8394)",2,4,True,[8394]
"(1056, 10353)",2,4,False,[]
"(8277, 9349)",2,4,True,[8277]
"(7883, 8048)",2,4,True,[7883]
"(11679, 11936)",2,4,False,[]
"(4503, 5663)",2,4,True,[4503]
"(3898, 7987)",2,4,False,[]
"(6473, 7208)",2,4,True,[6473]
"(8227, 9048)",2,4,False,[]
"(2429, 11459)",2,4,True,[2429]
"(3678, 10790)",2,4,True,"[3678, 10790]"
"(10272, 11308)",2,4,True,[10272]
"(81, 6356)",2,4,False,[]
"(1762, 4565)",2,4,False,[]
"(2251, 2883)",2,4,True,[2883]
"(7526, 10848, 12285)",3,4,True,[10848]
"(3959, 6471)",2,4,False,[]
"(7524, 9057)",2,4,True,[9057]
"(2704, 6094)",2,4,True,[6094]
"(10608, 11427)",2,4,False,[]
"(10933, 12416)",2,4,True,[10933]
"(4393, 8961)",2,4,False,[]
"(1531, 4282)",2,4,True,[1531]
"(6772, 9591)",2,4,True,[9591]
"(737, 1337)",2,4,True,[1337]
"(7915, 9663)",2,4,False,[]
"(11483, 12174)",2,4,False,[]
"(6765, 8654)",2,4,False,[]
"(1174, 2904, 3724)",3,4,False,[]
"(6251, 9730)",2,4,True,[6251]
"(10595, 12422)",2,4,True,[10595]
"(7557, 8745)",2,4,False,[]
"(6102, 6699)",2,4,True,[6102]
"(2883, 2941)",2,4,True,[2883]
"(613, 4127)",2,4,False,[]
"(3551, 8562)",2,4,False,[]
"(5040, 9188)",2,4,False,[]
"(69, 3449)",2,4,True,[3449]
"(160, 4514)",2,4,False,[]
"(5400, 6725)",2,4,True,"[5400, 6725]"
"(10077, 11049)",2,4,False,[]
"(10185, 11191)",2,4,True,"[10185, 11191]"
"(1993, 10808)",2,4,True,[1993]
"(5812, 6811)",2,4,False,[]
"(7232, 10801)",2,4,True,[10801]
"(2793, 3182)",2,4,False,[]
"(631, 631)",2,4,False,[]
"(883, 1384)",2,4,False,[]
"(4238, 6435)",2,4,False,[]
"(4900, 9933)",2,4,True,[4900]
"(3309, 8441)",2,4,True,[8441]
"(404, 921)",2,4,False,[]
"(6018, 7683)",2,4,False,[]
"(11817, 11932)",2,4,True,[11932]
"(57, 1390)",2,4,False,[]
"(1107, 5027)",2,4,True,[5027]
"(1421, 4346)",2,4,False,[]
"(5539, 5572)",2,4,True,[5572]
"(2051, 5644)",2,4,False,[]
"(4642, 5614)",2,4,False,[]
"(1159, 2400)",2,4,True,[1159]
"(157, 159)",2,4,False,[]
"(3720, 7351)",2,4,False,[]
"(7778, 8747)",2,4,False,[]
"(5623, 7949)",2,4,False,[]
"(11052, 11908)",2,4,False,[]
"(903, 8712)",2,4,False,[]
"(7028, 10304)",2,4,True,[10304]
"(6224, 8074)",2,4,False,[]
"(11178, 12242)",2,4,True,[12242]
"(8629, 9624)",2,4,False,[]
"(963, 5218)",2,4,True,[5218]
"(396, 2215)",2,4,True,[2215]
"(12185, 12887)",2,4,True,[12887]
