Architecture,Frequency,Novel_Subunits,Anchored_Known_System
"(234, 990, 2850)",5,[990],Fam_234=RM_Type_IV__Type_IV_REases; Fam_2850=RM_Type_IV__Type_IV_REases
"(5124, 7416)",5,[5124],Fam_7416=Unknown_Defense
"(2589, 5214)",5,[5214],Fam_2589=radar_II__rdrA_II
"(6198, 9317)",5,[6198],Fam_9317=DarTG__DarT
"(8528, 11805)",5,[11805],Fam_8528=AbiEii__AbiEii
"(9344, 13003)",5,[9344],Fam_13003=Unknown_Defense
"(5556, 7685)",5,[5556],Fam_7685=Unknown_Defense
"(12767, 13335)",5,"[12767, 13335]",Pure_Novel_System
"(3665, 9339)",5,[9339],Fam_3665=Wadjet__JetA_III
"(9774, 11610)",5,[9774],Fam_11610=AbiEii__AbiEi
"(4177, 9939)",5,[4177],Fam_9939=Unknown_Defense
"(192, 983, 3398)",4,[3398],Fam_192=RM__Type_I_REases; Fam_983=RM__Type_I_MTases
"(3302, 9273)",4,"[3302, 9273]",Pure_Novel_System
"(7482, 9424)",4,[9424],Fam_7482=AbiEii__AbiEii
"(329, 1174)",4,[329],Fam_1174=Wadjet__JetA_II
"(11102, 12408)",4,[11102],Fam_12408=Unknown_Defense
"(10115, 12885)",4,"[10115, 12885]",Pure_Novel_System
"(1819, 9914, 10347)",4,"[9914, 10347]",Fam_1819=Unknown_Defense
"(1479, 4211, 11678)",4,[1479],Fam_4211=Detocs__dtcC; Fam_11678=Detocs__dtcB
"(3680, 10268)",4,[10268],Fam_3680=AbiL__AbiLi2
"(4212, 9772)",4,"[4212, 9772]",Pure_Novel_System
"(1438, 5102)",4,[1438],Fam_5102=RosmerTA__RmrA
"(12815, 14068)",4,[14068],Fam_12815=MazEF__MazF
"(3265, 4028)",4,[4028],Fam_3265=cas2_I_II_III_IV_V_VI_13
"(8133, 13552)",4,"[8133, 13552]",Pure_Novel_System
"(6794, 9481)",4,[9481],Fam_6794=RM_Type_II__Type_II_MTases
"(5611, 12033)",4,[12033],Fam_5611=SanaTA__SanaT
"(3012, 10576)",4,"[3012, 10576]",Pure_Novel_System
"(1468, 9611)",4,[9611],Fam_1468=Shango__SngC
"(3331, 5712)",4,[5712],Fam_3331=AbiEii__AbiEii
"(1785, 3524)",4,[1785],Fam_3524=RM_Type_II__Type_II_REases
"(5318, 10371)",4,[10371],Fam_5318=SanaTA__SanaT
"(1034, 9179)",4,[9179],Fam_1034=Zorya__ZorA
"(7067, 12396)",4,[12396],Fam_7067=Unknown_Defense
"(981, 12682)",4,[981],Fam_12682=Unknown_Defense
"(3894, 12511)",4,[12511],Fam_3894=Wadjet__JetA_III
"(736, 1677)",4,"[736, 1677]",Pure_Novel_System
"(3133, 12698)",4,[12698],Fam_3133=Unknown_Defense
"(6552, 8218)",4,[8218],Fam_6552=Unknown_Defense
"(678, 5256)",4,[5256],Fam_678=Shango__SngC
"(1005, 1299)",4,[1005],Fam_1299=BREX__brxL
"(7824, 9687)",4,[9687],Fam_7824=AbiEii__AbiEi
"(3761, 10958)",4,[3761],Fam_10958=Unknown_Defense
