Architecture,Frequency,Novel_Subunits,Anchored_Known_System
"(8552, 13227)",2,[8552],Fam_13227=Unknown_Defense
"(1782, 6705)",2,[1782],Fam_6705=Unknown_Defense
"(7270, 9770)",2,[9770],Fam_7270=Unknown_Defense
"(7059, 10073)",2,[10073],Fam_7059=AbiEii__AbiEii
"(6008, 10802)",2,[6008],Fam_10802=AbiEii__AbiEi
"(3615, 9310)",2,[9310],Fam_3615=RM_Type_II__Type_II_MTases
"(1706, 2670)",2,[1706],Fam_2670=Unknown_Defense
"(1009, 1928, 8554)",2,[1928],Fam_1009=Zorya__ZorA; Fam_8554=Zorya__ZorB
"(8966, 9026)",2,[8966],Fam_9026=DarTG__DarT
"(12772, 14023)",2,[12772],Fam_14023=Unknown_Defense
"(8847, 11677)",2,[8847],Fam_11677=Unknown_Defense
"(5977, 12244)",2,[5977],Fam_12244=cas2_I_II_III_IV_V_VI_6
"(1773, 4721)",2,[4721],Fam_1773=Unknown_Defense
"(9000, 9037)",2,[9000],Fam_9037=Unknown_Defense
"(8802, 9656)",2,[9656],Fam_8802=Unknown_Defense
"(10117, 13295)",2,"[10117, 13295]",Pure_Novel_System
"(586, 4677)",2,[4677],Fam_586=Shango__SngC
"(828, 3766)",2,[3766],Fam_828=BREX__brxHI
"(1690, 2732)",2,[2732],Fam_1690=Unknown_Defense
"(817, 3459)",2,[3459],Fam_817=Shango__SngC
"(9804, 12579)",2,[9804],Fam_12579=MazEF__MazF
"(717, 13905)",2,[13905],Fam_717=RM_Type_IIG__Type_IIG
"(1866, 2733)",2,[1866],Fam_2733=Gabija__GajB
"(1667, 2462)",2,[1667],Fam_2462=SspBCDE__SspD
"(10037, 11026)",2,"[10037, 11026]",Pure_Novel_System
"(1269, 2892, 7901)",2,[1269],Fam_2892=Zorya_TypeI__ZorC; Fam_7901=Zorya__ZorB
"(7424, 11358)",2,[7424],Fam_11358=AbiZ__AbiZ
"(6780, 10012)",2,"[6780, 10012]",Pure_Novel_System
"(4656, 7969)",2,[4656],Fam_7969=Menshen__NsnC
"(4006, 6542)",2,[4006],Fam_6542=Unknown_Defense
"(3738, 12773)",2,[3738],Fam_12773=MazEF__MazF
"(274, 7926)",2,[7926],Fam_274=RM__Type_I_REases
"(1643, 3821)",2,[3821],Fam_1643=Unknown_Defense
"(9351, 11454)",2,[11454],Fam_9351=Unknown_Defense
"(1494, 3625)",2,[1494],Fam_3625=Unknown_Defense
"(5628, 6219)",2,[5628],Fam_6219=Unknown_Defense
"(884, 9292)",2,"[884, 9292]",Pure_Novel_System
"(582, 3046, 10309)",2,[582],Fam_3046=Wadjet__JetA_I; Fam_10309=Wadjet__JetB_I
"(309, 1048, 3449)",2,[3449],Fam_309=RM__Type_I_REases; Fam_1048=RM__Type_I_MTases
"(2050, 4861)",2,[4861],Fam_2050=RM_Type_II__Type_II_MTases
"(1856, 5282)",2,[1856],Fam_5282=Unknown_Defense
"(5555, 9990)",2,[9990],Fam_5555=Retron__RT_Tot
"(8917, 14211)",2,[14211],Fam_8917=Unknown_Defense
"(7132, 9057)",2,[7132],Fam_9057=Unknown_Defense
"(846, 4992)",2,[846],Fam_4992=Unknown_Defense
"(7355, 11392)",2,[11392],Fam_7355=Unknown_Defense
"(1145, 2061)",2,[1145],Fam_2061=Unknown_Defense
"(6193, 10832)",2,[6193],Fam_10832=Unknown_Defense
"(2951, 9157)",2,[9157],Fam_2951=AbiL__AbiLi2
"(1478, 4791)",2,[4791],Fam_1478=ShosTA__ShosT
"(10377, 13454)",2,[10377],Fam_13454=Unknown_Defense
"(7797, 10617)",2,[7797],Fam_10617=cas2_I_II_III_IV_V_VI_6
"(6825, 10200)",2,[10200],Fam_6825=AbiEii__AbiEii
"(12015, 13375)",2,[13375],Fam_12015=Unknown_Defense
"(1335, 6602)",2,[6602],Fam_1335=Unknown_Defense
"(2627, 3523)",2,[3523],Fam_2627=CARD_NLR__Trypsine_Endonuclease_new
"(3901, 8469)",2,[8469],Fam_3901=RM_Type_II__Type_II_MTases
"(2993, 13676)",2,[2993],Fam_13676=Unknown_Defense
"(983, 3614)",2,[3614],Fam_983=RM__Type_I_MTases
"(13370, 14022)",2,"[13370, 14022]",Pure_Novel_System
"(10469, 12701)",2,[12701],Fam_10469=MazEF__MazF
"(690, 1625)",2,[690],Fam_1625=RM_Type_III__Type_III_MTases
"(868, 5186, 9583)",2,[868],Fam_5186=SanaTA__SanaT; Fam_9583=SanaTA__SanaA
"(6251, 12386)",2,[6251],Fam_12386=Unknown_Defense
"(5016, 9913)",2,[5016],Fam_9913=Unknown_Defense
"(6205, 10880)",2,"[6205, 10880]",Pure_Novel_System
"(3956, 6940)",2,[3956],Fam_6940=Wadjet__JetA_III
"(12515, 13440)",2,[13440],Fam_12515=MazEF__MazF
"(2271, 4776)",2,[4776],Fam_2271=Retron__RT_Tot
"(7213, 8830)",2,[8830],Fam_7213=GasderMIN__bGSDM
"(4540, 11375)",2,[11375],Fam_4540=ShosTA__ShosT
"(7374, 7783)",2,[7374],Fam_7783=Unknown_Defense
"(5561, 13746)",2,[5561],Fam_13746=Unknown_Defense
"(5004, 10756)",2,"[5004, 10756]",Pure_Novel_System
"(7993, 10090)",2,[10090],Fam_7993=Unknown_Defense
"(3224, 8713)",2,[8713],Fam_3224=AbiL__AbiLi2
"(4172, 8677)",2,[4172],Fam_8677=DarTG__DarT
"(142, 263)",2,[263],Fam_142=RM_Type_IIG__Type_IIG
"(3427, 7842)",2,[3427],Fam_7842=Unknown_Defense
"(10979, 11838)",2,"[10979, 11838]",Pure_Novel_System
"(8220, 10217)",2,[8220],Fam_10217=Unknown_Defense
"(3680, 10463)",2,[10463],Fam_3680=AbiL__AbiLi2
"(1670, 2057)",2,[1670],Fam_2057=Gabija__GajB
"(13287, 13658)",2,[13658],Fam_13287=MazEF__MazF
"(3335, 6989, 9566)",2,"[3335, 6989]",Fam_9566=Retron_I_A__HNH_TIGR02646
"(1254, 6030)",2,[6030],Fam_1254=Unknown_Defense
"(12341, 14092)",2,[12341],Fam_14092=Unknown_Defense
"(3686, 8256)",2,"[3686, 8256]",Pure_Novel_System
"(7811, 9542)",2,[7811],Fam_9542=AbiEii__AbiEi
"(2489, 7765)",2,[2489],Fam_7765=pAgo__pAgo_LongA
"(1572, 3685)",2,[3685],Fam_1572=Unknown_Defense
"(7592, 10978)",2,"[7592, 10978]",Pure_Novel_System
"(10431, 12216)",2,[12216],Fam_10431=Unknown_Defense
"(274, 2109, 4151, 6560)",2,[6560],Fam_274=RM__Type_I_REases; Fam_2109=RM__Type_I_MTases; Fam_4151=RM__Type_I_S
"(8125, 10587)",2,"[8125, 10587]",Pure_Novel_System
"(6790, 9749)",2,"[6790, 9749]",Pure_Novel_System
"(1186, 8507)",2,[8507],Fam_1186=PsyrTA__PsyrT
"(6670, 7784)",2,[7784],Fam_6670=Unknown_Defense
"(4021, 8537)",2,[8537],Fam_4021=RM_Type_II__Type_II_MTases
"(50, 2942, 9010)",2,"[2942, 9010]",Fam_50=Unknown_Defense
"(3809, 12119)",2,[3809],Fam_12119=Unknown_Defense
"(4022, 9025)",2,"[4022, 9025]",Pure_Novel_System
"(3979, 7876)",2,[3979],Fam_7876=Menshen__NsnC
"(6229, 8165)",2,[8165],Fam_6229=SanaTA__SanaA
"(3426, 5447, 6238)",2,[3426],Fam_5447=CBASS__Cyclase_new; Fam_6238=CBASS__Effector_TIR
"(2114, 5548)",2,[5548],Fam_2114=RM__Type_I_MTases
"(5907, 9469)",2,[5907],Fam_9469=RM_Type_II__Type_II_REases
"(2357, 5193)",2,[5193],Fam_2357=RM__Type_I_MTases
"(13366, 14056)",2,[14056],Fam_13366=Unknown_Defense
"(1437, 2219)",2,[2219],Fam_1437=Unknown_Defense
"(326, 3279, 6489, 6796)",2,[3279],Fam_326=SspBCDE__SspC; Fam_6489=SspBCDE__SspB; Fam_6796=SspBCDE__SspD
"(440, 9598)",2,[440],Fam_9598=Unknown_Defense
"(969, 1299)",2,[969],Fam_1299=BREX__brxL
"(2556, 3076)",2,[2556],Fam_3076=AbiEii__AbiEi
"(4008, 13213)",2,[13213],Fam_4008=RM_Type_II__Type_II_MTases
"(2520, 10510)",2,[2520],Fam_10510=DarTG__DarT
"(47, 14308)",2,[14308],Fam_47=Unknown_Defense
"(618, 716)",2,[716],Fam_618=Dpd__DpdJ
"(7870, 10904)",2,[7870],Fam_10904=Unknown_Defense
"(447, 447)",2,[447],Pure_Novel_System
"(7460, 10911)",2,"[7460, 10911]",Pure_Novel_System
"(2722, 11131)",2,[2722],Fam_11131=Unknown_Defense
"(1809, 11321)",2,[1809],Fam_11321=Unknown_Defense
"(823, 2415)",2,[2415],Fam_823=Unknown_Defense
"(10810, 11075)",2,[11075],Fam_10810=Unknown_Defense
"(778, 12083)",2,[12083],Fam_778=Hachiman__HamB
"(3806, 4441)",2,[4441],Fam_3806=Unknown_Defense
"(8324, 9596)",2,[9596],Fam_8324=ShosTA__ShosT
"(10214, 12535, 13158)",2,[10214],Fam_12535=MazEF__MazF; Fam_13158=MazEF__MazE
"(571, 12570)",2,[12570],Fam_571=Unknown_Defense
"(8251, 12680)",2,[12680],Fam_8251=Unknown_Defense
"(938, 6265)",2,[938],Fam_6265=Unknown_Defense
"(110, 6250, 13925)",2,[13925],Fam_110=Tiamat__TmtA; Fam_6250=AbiEii__AbiEii
"(4217, 4586)",2,[4586],Fam_4217=CBASS__Jab
"(1583, 10501)",2,[10501],Fam_1583=Shango__SngC
"(983, 4692, 5208)",2,[4692],Fam_983=RM__Type_I_MTases; Fam_5208=RM__Type_I_S
"(897, 10249)",2,[10249],Fam_897=Avs_V__Avs5A
"(6055, 10009)",2,[6055],Fam_10009=Unknown_Defense
"(7178, 8574)",2,[7178],Fam_8574=Shedu__SduA
"(2172, 5469)",2,"[2172, 5469]",Pure_Novel_System
"(1210, 6029)",2,[6029],Fam_1210=BREX__brxA_DUF1819
"(12928, 13482)",2,[12928],Fam_13482=PfiAT__PfiA
"(2762, 11323)",2,"[2762, 11323]",Pure_Novel_System
"(4447, 9559)",2,[9559],Fam_4447=RM_Type_II__Type_II_MTases
"(1993, 6490)",2,[6490],Fam_1993=Unknown_Defense
"(5144, 6761)",2,[5144],Fam_6761=AbiEii__AbiEii
"(11044, 13645)",2,[11044],Fam_13645=Unknown_Defense
"(1115, 10541, 12107)",2,[10541],Fam_1115=Unknown_Defense; Fam_12107=DarTG__DarT
"(3609, 6553)",2,[3609],Fam_6553=RM_Type_II__Type_II_REases
"(983, 3962)",2,[3962],Fam_983=RM__Type_I_MTases
"(4773, 6620)",2,[4773],Fam_6620=AbiEii__AbiEii
"(2274, 10294)",2,[10294],Fam_2274=pAgo__pAgo_SPARTA
"(5092, 5380)",2,[5092],Fam_5380=RM_Type_II__Type_II_MTases
"(3918, 10761)",2,[10761],Fam_3918=PARIS_II__AriA_AAA21
"(12023, 12095)",2,[12095],Fam_12023=Unknown_Defense
"(8685, 11332)",2,[11332],Fam_8685=Unknown_Defense
"(3537, 4078)",2,[4078],Fam_3537=RM_Type_II__Type_II_MTases
"(3895, 9079)",2,[3895],Fam_9079=ShosTA__ShosT
"(1106, 4130)",2,[4130],Fam_1106=Gao_Iet__IetS
"(3070, 3186, 11470)",2,[3186],Fam_3070=CBASS__Cyclase_II; Fam_11470=Unknown_Defense
"(5887, 10823)",2,[5887],Fam_10823=Unknown_Defense
"(3220, 3314)",2,[3220],Fam_3314=BREX__pglZ3
"(2595, 4843)",2,[4843],Fam_2595=pAgo__pAgo_S2B
"(7173, 11534)",2,[11534],Fam_7173=RM_Type_II__Type_II_MTases
"(7756, 10986)",2,[10986],Fam_7756=SoFic__SoFic
"(8614, 8615)",2,[8615],Fam_8614=PsyrTA__PsyrT
"(2327, 4808)",2,[4808],Fam_2327=RM_Type_II__Type_II_REases
"(1249, 8757)",2,[1249],Fam_8757=Unknown_Defense
"(2649, 13055)",2,[13055],Fam_2649=Unknown_Defense
"(2134, 5675)",2,[5675],Fam_2134=RM_Type_II__Type_II_MTases
"(5698, 6530)",2,[6530],Fam_5698=BREX__brxD
"(12127, 12404)",2,"[12127, 12404]",Pure_Novel_System
"(3960, 9755)",2,[9755],Fam_3960=Unknown_Defense
"(8942, 9327)",2,"[8942, 9327]",Pure_Novel_System
"(12378, 13786)",2,[12378],Fam_13786=Unknown_Defense
"(5061, 7915)",2,[7915],Fam_5061=AbiEii__AbiEi
"(4711, 6920)",2,[4711],Fam_6920=FS_HP__HP
"(2428, 5651, 7950)",2,[5651],Fam_2428=Septu__PtuA; Fam_7950=Septu__PtuB
"(7259, 12963)",2,[7259],Fam_12963=cas2_I_II_III_IV_V_VI_13
"(12209, 13719)",2,[13719],Fam_12209=MazEF__MazF
"(6649, 12806)",2,[6649],Fam_12806=cas2_I_II_III_IV_V_VI_6
"(5888, 10065)",2,[10065],Fam_5888=RM_Type_II__Type_II_MTases
"(1665, 2194, 2377, 6957)",2,[1665],Fam_2194=Unknown_Defense; Fam_2377=RM_Type_II__Type_II_MTases; Fam_6957=RM_Type_II__Type_II_REases
"(10549, 11241, 13160)",2,"[10549, 11241]",Fam_13160=Unknown_Defense
"(11301, 11702)",2,"[11301, 11702]",Pure_Novel_System
"(6037, 9080)",2,[9080],Fam_6037=Unknown_Defense
"(10950, 13902)",2,[10950],Fam_13902=Unknown_Defense
"(4557, 5986)",2,[4557],Fam_5986=Unknown_Defense
"(7291, 9211)",2,[7291],Fam_9211=Unknown_Defense
"(529, 2713)",2,[2713],Fam_529=Wadjet__JetC_I
"(8231, 9643)",2,[8231],Fam_9643=Unknown_Defense
"(7323, 7631)",2,[7631],Fam_7323=RM_Type_II__Type_II_MTases
"(3785, 12379)",2,[12379],Fam_3785=RM_Type_II__Type_II_MTases
"(3207, 5418)",2,[5418],Fam_3207=AbiL__AbiLi2
"(8232, 10192)",2,"[8232, 10192]",Pure_Novel_System
"(7048, 12465)",2,[7048],Fam_12465=Unknown_Defense
"(921, 10821)",2,[921],Fam_10821=Dpd__DpdC
"(3339, 9638)",2,[9638],Fam_3339=AbiL__AbiLi2
"(2243, 5770)",2,[5770],Fam_2243=DarTG__DarT
"(11476, 12644)",2,[12644],Fam_11476=Unknown_Defense
"(799, 9300)",2,[9300],Fam_799=Unknown_Defense
"(2904, 5803)",2,[2904],Fam_5803=RM_Type_II__Type_II_REases
"(533, 4079)",2,[533],Fam_4079=Unknown_Defense
"(8583, 9718)",2,[8583],Fam_9718=Unknown_Defense
"(533, 4079, 4781)",2,[533],Fam_4079=Unknown_Defense; Fam_4781=cmr3gr5_III-B_III-C_5
"(9333, 10653)",2,[9333],Fam_10653=Unknown_Defense
"(3145, 9401)",2,[9401],Fam_3145=RM_Type_IV__Type_IV_REases
"(4913, 6480)",2,[6480],Fam_4913=AbiEii__AbiEi
"(8613, 10295)",2,"[8613, 10295]",Pure_Novel_System
"(7180, 11129)",2,"[7180, 11129]",Pure_Novel_System
"(985, 5742)",2,[5742],Fam_985=Unknown_Defense
"(72, 13579)",2,[13579],Fam_72=Unknown_Defense
"(1200, 4122, 5306)",2,[1200],Fam_4122=Menshen__NsnB; Fam_5306=Menshen__NsnA
"(4840, 8508)",2,[4840],Fam_8508=Unknown_Defense
"(294, 2408, 2417, 3551, 4713, 9334)",2,[3551],Fam_294=RM__Type_I_REases; Fam_2408=RM__Type_I_MTases; Fam_2417=dCTPdeaminase__dCTPdeaminase; Fam_4713=DarTG__DarG; Fam_9334=DarTG__DarT
"(12906, 13351)",2,"[12906, 13351]",Pure_Novel_System
"(7550, 8540)",2,[7550],Fam_8540=Unknown_Defense
"(318, 5906, 6814)",2,[5906],Fam_318=RM__Type_I_REases; Fam_6814=AbiEii__AbiEii
"(4129, 6208)",2,"[4129, 6208]",Pure_Novel_System
"(2575, 11299)",2,"[2575, 11299]",Pure_Novel_System
"(48, 2058, 3338)",2,[3338],Fam_48=Unknown_Defense; Fam_2058=Dnd_ABCDEFGH__DptF
"(4695, 8539)",2,[8539],Fam_4695=CBASS__Cyclase_II
"(4516, 5525)",2,"[4516, 5525]",Pure_Novel_System
"(2318, 4882)",2,[2318],Fam_4882=Olokun__OloA
"(271, 13961)",2,[13961],Fam_271=Unknown_Defense
"(1300, 5353)",2,[1300],Fam_5353=Mokosh_type_I__MkoA_D
"(445, 5697)",2,"[445, 5697]",Pure_Novel_System
"(5005, 7008)",2,[7008],Fam_5005=AbiEii__AbiEi
"(4127, 12252)",2,[12252],Fam_4127=DarTG__DarG
"(757, 13357)",2,"[757, 13357]",Pure_Novel_System
"(1308, 5648)",2,[1308],Fam_5648=AbiEii__AbiEi
"(12931, 13916)",2,[12931],Fam_13916=Unknown_Defense
"(4710, 10058)",2,[4710],Fam_10058=Septu__PtuB
"(4394, 4737)",2,"[4394, 4737]",Pure_Novel_System
"(11010, 13899)",2,[11010],Fam_13899=Unknown_Defense
"(886, 1829, 2981)",2,"[1829, 2981]",Fam_886=Unknown_Defense
"(91, 466, 1223, 2504)",2,[1223],Fam_91=Unknown_Defense; Fam_466=Unknown_Defense; Fam_2504=Druantia_I__DruD
"(2846, 4468, 5502)",2,"[2846, 4468]",Fam_5502=RM_Type_II__Type_II_MTases
"(8789, 13125)",2,[8789],Fam_13125=Unknown_Defense
"(12542, 13025)",2,[13025],Fam_12542=Unknown_Defense
"(453, 2267, 3847, 4591, 10624)",2,[10624],Fam_453=RM__Type_I_REases; Fam_2267=RM__Type_I_MTases; Fam_3847=RM__Type_I_S; Fam_4591=RosmerTA__RmrA
"(5174, 9636)",2,[9636],Fam_5174=Unknown_Defense
"(218, 4222)",2,[4222],Fam_218=Unknown_Defense
"(313, 2882, 6561)",2,[2882],Fam_313=Zorya_TypeI__ZorD; Fam_6561=Zorya__ZorB
"(7078, 13024)",2,[7078],Fam_13024=Unknown_Defense
"(10296, 14104)",2,"[10296, 14104]",Pure_Novel_System
"(3569, 13356)",2,"[3569, 13356]",Pure_Novel_System
"(2274, 4934)",2,[4934],Fam_2274=pAgo__pAgo_SPARTA
"(334, 4152)",2,[4152],Fam_334=BREX__brxB_DUF1788
"(1264, 3041)",2,[3041],Fam_1264=pAgo__pAgo_LongB
"(58, 10850, 12122)",2,[10850],Fam_58=RM_Type_IIG__Type_IIG; Fam_12122=Unknown_Defense
"(1577, 8189)",2,[8189],Fam_1577=Retron__RT_Tot
"(9440, 13087)",2,[13087],Fam_9440=Unknown_Defense
"(631, 2141)",2,[2141],Fam_631=Shango__SngC
"(1471, 9144)",2,[9144],Fam_1471=cas1_I_II_III_IV_V_VI_1
"(13, 2053)",2,[2053],Fam_13=cas2_I_II_III_IV_V_VI_3
"(425, 2728)",2,[425],Fam_2728=PARIS_II__AriB_DUF4435_II
"(8407, 10765)",2,[10765],Fam_8407=Unknown_Defense
"(627, 12947)",2,"[627, 12947]",Pure_Novel_System
"(3509, 6212)",2,"[3509, 6212]",Pure_Novel_System
"(3727, 8598, 11612)",2,"[8598, 11612]",Fam_3727=Thoeris__ThsB_Global
"(6612, 6840, 7168)",2,"[6612, 7168]",Fam_6840=Unknown_Defense
"(80, 6013)",2,[80],Fam_6013=AbiEii__AbiEii
"(7201, 11891)",2,"[7201, 11891]",Pure_Novel_System
"(5615, 12140)",2,[12140],Fam_5615=SoFic__SoFic
"(5188, 11426)",2,[5188],Fam_11426=Unknown_Defense
"(447, 9699)",2,[447],Fam_9699=DarTG__DarT
"(923, 12444)",2,[12444],Fam_923=Shango__SngC
"(936, 14076)",2,[14076],Fam_936=Unknown_Defense
"(8079, 10999)",2,[10999],Fam_8079=Kiwa__KwaB
"(1496, 3860, 4941)",2,[4941],Fam_1496=RM_Type_IV__Type_IV_REases; Fam_3860=RM_Type_II__Type_II_MTases
"(9233, 11351)",2,[11351],Fam_9233=Dpd__DpdC
"(199, 8081, 9410)",2,[8081],Fam_199=BREX__brxC; Fam_9410=BREX__brxB_DUF1788
"(6713, 7392)",2,"[6713, 7392]",Pure_Novel_System
"(5660, 7535)",2,[5660],Fam_7535=Unknown_Defense
"(2039, 2537)",2,[2039],Fam_2537=Unknown_Defense
"(10125, 11291)",2,[11291],Fam_10125=Unknown_Defense
"(6371, 9960)",2,[6371],Fam_9960=Unknown_Defense
"(12744, 13800)",2,[12744],Fam_13800=Unknown_Defense
"(945, 4992)",2,[945],Fam_4992=Unknown_Defense
"(646, 982)",2,[646],Fam_982=Unknown_Defense
"(6535, 8082)",2,[8082],Fam_6535=Unknown_Defense
"(5366, 11290)",2,[11290],Fam_5366=Unknown_Defense
"(10774, 12036)",2,[12036],Fam_10774=Unknown_Defense
"(6749, 6805)",2,[6805],Fam_6749=Unknown_Defense
"(4830, 13208)",2,"[4830, 13208]",Pure_Novel_System
"(3998, 11517)",2,[3998],Fam_11517=Unknown_Defense
"(1295, 5189)",2,[5189],Fam_1295=Unknown_Defense
"(333, 565)",2,[565],Fam_333=Shedu__SduA
"(180, 1391)",2,[180],Fam_1391=DISARM__drmB
"(6748, 7678)",2,[7678],Fam_6748=Wadjet__JetB_I
"(6354, 9052)",2,[6354],Fam_9052=Unknown_Defense
"(3906, 5292)",2,[5292],Fam_3906=Wadjet__JetA_I
"(11397, 11966)",2,[11397],Fam_11966=Unknown_Defense
"(5587, 6618)",2,[6618],Fam_5587=Unknown_Defense
"(3739, 5161)",2,[3739],Fam_5161=Menshen__NsnC
"(5435, 8885)",2,[5435],Fam_8885=Unknown_Defense
"(38, 3403)",2,[3403],Fam_38=Unknown_Defense
"(3920, 13633)",2,[13633],Fam_3920=BREX__brxE
"(3581, 4120)",2,"[3581, 4120]",Pure_Novel_System
"(827, 3323)",2,[3323],Fam_827=RM_Type_IV__Type_IV_REases
"(8280, 10041)",2,[8280],Fam_10041=DarTG__DarT
"(13771, 13906)",2,[13771],Fam_13906=Unknown_Defense
"(975, 7306)",2,[7306],Fam_975=Hachiman__HamB
"(12414, 12414)",2,[12414],Pure_Novel_System
"(7749, 10042)",2,[7749],Fam_10042=Unknown_Defense
"(1250, 11107)",2,[11107],Fam_1250=RM__Type_I_MTases
"(2403, 6124, 6606, 11219)",2,"[6124, 6606]",Fam_2403=CBASS__Sensing_TPALS; Fam_11219=CBASS__bacHORMA
"(4479, 7708)",2,[7708],Fam_4479=RM_Type_II__Type_II_MTases
"(539, 1744, 2424, 8270)",2,[8270],Fam_539=RM_Type_II__Type_II_REases; Fam_1744=Gao_Mza__MzaE; Fam_2424=RM_Type_II__Type_II_REases
"(4191, 10043)",2,[4191],Fam_10043=cas2_I_II_III_IV_V_VI_3
"(3824, 5049)",2,[3824],Fam_5049=RM_Type_II__Type_II_MTases
"(7308, 12173)",2,[12173],Fam_7308=Unknown_Defense
"(7609, 12849)",2,[12849],Fam_7609=Unknown_Defense
"(2312, 3504)",2,[2312],Fam_3504=Unknown_Defense
"(3227, 5484)",2,"[3227, 5484]",Pure_Novel_System
"(6874, 7342)",2,[7342],Fam_6874=AbiEii__AbiEi
"(2878, 9997)",2,[2878],Fam_9997=Unknown_Defense
"(2488, 5409)",2,[5409],Fam_2488=ShosTA__ShosT
"(282, 297)",2,[282],Fam_297=Unknown_Defense
"(5026, 6616)",2,[6616],Fam_5026=Dpd__DpdK
"(2449, 3993)",2,[3993],Fam_2449=DarTG__DarG
"(12078, 13929)",2,"[12078, 13929]",Pure_Novel_System
"(4413, 10147)",2,[4413],Fam_10147=AbiL__AbiLii2
"(1102, 3150)",2,[1102],Fam_3150=DarTG__DarG
"(2454, 6188)",2,[2454],Fam_6188=CBASS__Cyclase_SMODS
"(4327, 8855)",2,[4327],Fam_8855=Unknown_Defense
"(6486, 11687)",2,"[6486, 11687]",Pure_Novel_System
"(2832, 2922)",2,[2922],Fam_2832=Dpd__DpdB
"(9886, 13501)",2,[9886],Fam_13501=cas2_I_II_III_IV_V_VI_3
"(1007, 1917)",2,[1917],Fam_1007=Eleos__LeoBC
"(1588, 2682, 2749, 3849, 5362)",2,[2749],Fam_1588=RM_Type_IV__Type_IV_REases; Fam_2682=RM_Type_II__Type_II_REases; Fam_3849=RM_Type_II__Type_II_MTases; Fam_5362=Unknown_Defense
"(1922, 3035)",2,[3035],Fam_1922=pAgo__pAgo_S1B
"(293, 1629)",2,"[293, 1629]",Pure_Novel_System
"(2485, 5903)",2,[5903],Fam_2485=cas1_I_II_III_IV_V_VI_1
"(7869, 9670)",2,[9670],Fam_7869=Wadjet__JetA_III
"(1354, 12369)",2,[12369],Fam_1354=Dnd__DndD
"(3178, 10876, 12675)",2,[12675],Fam_3178=Wadjet__JetA_II; Fam_10876=Unknown_Defense
"(4709, 13279)",2,[4709],Fam_13279=Unknown_Defense
"(8398, 10647)",2,[8398],Fam_10647=Menshen__NsnC
"(6027, 12806)",2,[6027],Fam_12806=cas2_I_II_III_IV_V_VI_6
"(66, 186, 2527)",2,[186],Fam_66=SspBCDE__SspH; Fam_2527=Unknown_Defense
"(961, 5815)",2,[961],Fam_5815=Unknown_Defense
"(3588, 6487)",2,[6487],Fam_3588=Unknown_Defense
"(10176, 12926)",2,[12926],Fam_10176=Unknown_Defense
"(7774, 9507)",2,[9507],Fam_7774=Unknown_Defense
"(1471, 13359)",2,[13359],Fam_1471=cas1_I_II_III_IV_V_VI_1
"(1543, 8149)",2,[1543],Fam_8149=Unknown_Defense
"(10286, 10461)",2,[10286],Fam_10461=Unknown_Defense
"(7103, 8049)",2,"[7103, 8049]",Pure_Novel_System
"(10682, 12859)",2,[12859],Fam_10682=Unknown_Defense
"(6453, 10844)",2,[10844],Fam_6453=Unknown_Defense
"(8324, 9505)",2,[9505],Fam_8324=ShosTA__ShosT
"(463, 797, 5834, 6284)",2,[5834],Fam_463=Dpd__DpdH; Fam_797=Dpd__DpdF; Fam_6284=Dpd__DpdG
"(12202, 12592)",2,[12202],Fam_12592=Unknown_Defense
"(6375, 10408)",2,[6375],Fam_10408=BREX__brxB_DUF1788
"(1144, 8895)",2,[1144],Fam_8895=Rst_HelicaseDUF2290__DUF2290_Pers
"(8323, 8976)",2,[8976],Fam_8323=Unknown_Defense
"(3179, 6947)",2,[3179],Fam_6947=Dpd__DpdK
"(6948, 11943)",2,[11943],Fam_6948=Unknown_Defense
"(1124, 5758)",2,[5758],Fam_1124=Shango__SngC
"(7833, 13172)",2,"[7833, 13172]",Pure_Novel_System
"(481, 1521)",2,[481],Fam_1521=RM_Type_III__Type_III_MTases
"(398, 983, 7938)",2,[7938],Fam_398=RM__Type_I_REases; Fam_983=RM__Type_I_MTases
"(385, 1663)",2,[1663],Fam_385=Unknown_Defense
"(2179, 5662)",2,[2179],Fam_5662=Unknown_Defense
"(274, 4317)",2,[4317],Fam_274=RM__Type_I_REases
"(4381, 9126)",2,"[4381, 9126]",Pure_Novel_System
"(164, 7303)",2,[7303],Fam_164=RM__Type_I_REases
"(13130, 13865)",2,"[13130, 13865]",Pure_Novel_System
"(8645, 10319)",2,[8645],Fam_10319=BREX__brxE
"(1662, 2525)",2,[1662],Fam_2525=RM__Type_I_MTases
"(4435, 8287)",2,[8287],Fam_4435=Unknown_Defense
"(3882, 5342)",2,[3882],Fam_5342=SanaTA__SanaT
"(4902, 8894)",2,[8894],Fam_4902=Dpd__DpdC
"(2718, 7616)",2,[7616],Fam_2718=AbiEii__AbiEii
"(3474, 11112)",2,[3474],Fam_11112=Unknown_Defense
"(3759, 12421)",2,[12421],Fam_3759=Retron__RT_Tot
"(5878, 12420)",2,[5878],Fam_12420=Unknown_Defense
"(9162, 12108)",2,[9162],Fam_12108=Unknown_Defense
"(1048, 4195)",2,[4195],Fam_1048=RM__Type_I_MTases
"(3843, 13030)",2,[3843],Fam_13030=PfiAT__PfiA
"(9127, 10424)",2,[9127],Fam_10424=Unknown_Defense
"(8436, 12856)",2,[12856],Fam_8436=Unknown_Defense
