composition,family_count,system_frequency,has_novel_family,novel_families
"(2280, 8111)",2,3,True,[8111]
"(2130, 10793)",2,3,True,[2130]
"(7601, 12165)",2,3,True,[7601]
"(2874, 4857)",2,3,True,[2874]
"(4083, 5012)",2,3,True,[5012]
"(11444, 11936)",2,3,True,[11444]
"(202, 221)",2,3,True,[221]
"(1942, 12505)",2,3,True,[1942]
"(1147, 1811)",2,3,True,[1147]
"(1103, 5154)",2,3,True,[5154]
"(11665, 12112)",2,3,True,[11665]
"(526, 4234)",2,3,True,[526]
"(270, 6658)",2,3,True,[6658]
"(747, 5531)",2,3,True,[5531]
"(1999, 9472)",2,3,True,[1999]
"(11221, 11745)",2,3,True,[11745]
"(5668, 9309)",2,3,True,[5668]
"(2214, 6517)",2,3,True,[6517]
"(2773, 4172)",2,3,True,[4172]
"(7321, 8779)",2,3,True,[8779]
"(3166, 8073)",2,3,True,[8073]
"(6046, 8088)",2,3,True,[6046]
"(1117, 7410)",2,3,True,[7410]
"(2150, 7619)",2,3,True,[7619]
"(3534, 10447)",2,3,True,[3534]
"(185, 4939)",2,3,True,"[185, 4939]"
"(10159, 11963)",2,3,True,[10159]
"(3661, 6174)",2,3,True,[6174]
"(11824, 12007)",2,3,True,[12007]
"(1613, 2319)",2,3,True,[2319]
"(412, 607)",2,3,True,[412]
"(5840, 7613)",2,3,True,[5840]
"(2453, 2574)",2,3,True,[2574]
"(96, 5180)",2,3,True,[5180]
"(1745, 2790)",2,3,True,[2790]
"(7405, 7974)",2,3,True,[7974]
"(1202, 7754)",2,3,True,[1202]
"(4400, 4717)",2,3,True,[4717]
"(5435, 10028)",2,3,True,[5435]
"(3221, 10791)",2,3,True,[3221]
"(943, 4210)",2,3,True,[4210]
"(2584, 9364)",2,3,True,[9364]
"(5051, 9157)",2,3,True,[5051]
"(4555, 7450)",2,3,True,[4555]
"(3774, 11446)",2,3,True,[11446]
"(11303, 11993)",2,3,True,[11993]
"(7574, 9057)",2,3,True,[9057]
"(1807, 6122)",2,3,True,[6122]
"(5634, 11275)",2,3,True,[5634]
"(3055, 3411)",2,3,True,"[3055, 3411]"
"(4171, 5966)",2,3,True,[4171]
"(2604, 2708)",2,3,True,[2708]
"(10611, 10885)",2,3,True,"[10611, 10885]"
"(2010, 11100)",2,3,True,[2010]
"(10718, 10763)",2,3,True,[10763]
"(6882, 7565)",2,3,True,"[6882, 7565]"
"(5146, 7495)",2,3,True,[7495]
"(2681, 10715)",2,3,True,[10715]
"(3619, 3971)",2,3,True,[3971]
"(4406, 6871)",2,3,True,[6871]
"(8817, 9315)",2,3,True,[8817]
"(757, 9098)",2,3,True,[9098]
"(448, 1964)",2,3,True,[1964]
