Architecture,Frequency,Novel_Subunits,Anchored_Known_System
"(2649, 3489)",4,[2649],Fam_3489=RM_Type_II__Type_II_MTases
"(5891, 9589)",4,[5891],Fam_9589=Unknown_Defense
"(2377, 2708)",4,[2708],Fam_2377=Unknown_Defense
"(5993, 9633)",4,[5993],Fam_9633=Unknown_Defense
"(4975, 6736)",4,[6736],Fam_4975=AbiEii__AbiEii
"(6848, 8949)",4,[8949],Fam_6848=AbiEii__AbiEii
"(3391, 6271)",4,[6271],Fam_3391=AbiEii__AbiEi
"(11593, 12692)",3,"[11593, 12692]",Pure_Novel_System
"(578, 3189)",3,[3189],Fam_578=Wadjet__JetC_II
"(1161, 1669, 2057)",3,[1669],Fam_1161=Wadjet__JetA_III; Fam_2057=Unknown_Defense
"(2838, 7516)",3,[7516],Fam_2838=RM_Type_II__Type_II_REases
"(6992, 7347)",3,"[6992, 7347]",Pure_Novel_System
"(3320, 10836)",3,[10836],Fam_3320=RosmerTA__RmrA
"(2331, 9095)",3,[9095],Fam_2331=Septu__PtuA
"(7106, 9589)",3,[7106],Fam_9589=Unknown_Defense
"(11303, 12358)",3,[12358],Fam_11303=PfiAT__PfiT
"(8663, 9373)",3,[9373],Fam_8663=Unknown_Defense
"(155, 11897)",3,[11897],Fam_155=SspBCDE__SspC
"(9039, 11398)",3,[11398],Fam_9039=Unknown_Defense
"(660, 4969)",3,[4969],Fam_660=DarTG__DarT
"(6355, 8114)",3,[6355],Fam_8114=AbiEii__AbiEi
"(6659, 8098)",3,[6659],Fam_8098=Unknown_Defense
"(4356, 11289)",3,[4356],Fam_11289=cas2_I_II_III_IV_V_VI_6
"(4225, 8509)",3,[8509],Fam_4225=SanaTA__SanaT
"(946, 2147, 3036)",3,[2147],Fam_946=RM__Type_I_MTases; Fam_3036=RM__Type_I_S
"(814, 1136)",3,"[814, 1136]",Pure_Novel_System
"(10067, 10196)",3,[10067],Fam_10196=Unknown_Defense
"(1705, 4231)",3,[1705],Fam_4231=Unknown_Defense
"(510, 5555)",3,[510],Fam_5555=SanaTA__SanaT
"(11371, 12473)",3,[12473],Fam_11371=Unknown_Defense
"(6729, 8386)",3,[8386],Fam_6729=AbiEii__AbiEii
"(5026, 7965)",3,[7965],Fam_5026=AbiEii__AbiEii
"(189, 1357)",3,[189],Fam_1357=RM_Type_IIG__Type_IIG
"(5080, 7728)",3,[5080],Fam_7728=AbiEii__AbiEi
"(8744, 9628)",3,[9628],Fam_8744=Unknown_Defense
"(510, 3462, 5555)",3,[510],Fam_3462=AbiEii__AbiEi; Fam_5555=SanaTA__SanaT
"(1959, 2484)",3,[1959],Fam_2484=RM_Type_II__Type_II_MTases
"(5392, 8628)",3,[8628],Fam_5392=AbiEii__AbiEii
"(3704, 8176)",3,[3704],Fam_8176=RM_Type_II__Type_II_REases
"(901, 8681)",3,[8681],Fam_901=PsyrTA__PsyrT
"(10385, 12242)",3,[12242],Fam_10385=Unknown_Defense
"(1489, 2077, 7367)",3,[1489],Fam_2077=Wadjet__JetA_I; Fam_7367=Wadjet__JetB_I
"(2229, 3975)",3,[3975],Fam_2229=Unknown_Defense
"(2700, 7651)",3,[7651],Fam_2700=AbiL__AbiLi2
"(133, 1972)",3,[1972],Fam_133=RM__Type_I_REases
"(5033, 7673)",3,[5033],Fam_7673=Unknown_Defense
"(10825, 12418)",3,[12418],Fam_10825=MazEF__MazF
"(1902, 4965)",3,"[1902, 4965]",Pure_Novel_System
"(11443, 12479)",3,"[11443, 12479]",Pure_Novel_System
"(1074, 3044)",3,[1074],Fam_3044=RM_Type_II__Type_II_MTases
"(3792, 5457)",3,[3792],Fam_5457=Unknown_Defense
"(6434, 7621)",3,[6434],Fam_7621=Unknown_Defense
"(6945, 11889)",3,[6945],Fam_11889=cas2_I_II_III_IV_V_VI_3
"(7738, 12680)",3,[12680],Fam_7738=MazEF__MazF
"(6531, 8575)",3,[6531],Fam_8575=AbiEii__AbiEii
"(2280, 8111)",3,[8111],Fam_2280=AbiL__AbiLi2
"(2130, 10793)",3,[2130],Fam_10793=cas2_I_II_III_IV_V_VI_13
"(7601, 12165)",3,[7601],Fam_12165=Unknown_Defense
"(2874, 4857)",3,[2874],Fam_4857=RM_Type_IV__Type_IV_REases
"(4083, 5012)",3,[5012],Fam_4083=Dpd__DpdB
"(11444, 11936)",3,[11444],Fam_11936=MazEF__MazF
"(202, 221)",3,[221],Fam_202=Unknown_Defense
"(1942, 12505)",3,[1942],Fam_12505=Unknown_Defense
"(1147, 1811)",3,[1147],Fam_1811=Unknown_Defense
"(1103, 5154)",3,[5154],Fam_1103=Septu__PtuA
"(11665, 12112)",3,[11665],Fam_12112=MazEF__MazE
"(526, 4234)",3,[526],Fam_4234=Unknown_Defense
"(270, 6658)",3,[6658],Fam_270=Unknown_Defense
"(747, 5531)",3,[5531],Fam_747=Unknown_Defense
"(1999, 9472)",3,[1999],Fam_9472=AbiB__AbiB
"(11221, 11745)",3,[11745],Fam_11221=PfiAT__PfiT
"(5668, 9309)",3,[5668],Fam_9309=Unknown_Defense
"(2214, 6517)",3,[6517],Fam_2214=Unknown_Defense
"(2773, 4172)",3,[4172],Fam_2773=RM_Type_II__Type_II_MTases
"(7321, 8779)",3,[8779],Fam_7321=AbiEii__AbiEii
"(3166, 8073)",3,[8073],Fam_3166=AbiL__AbiLi2
"(6046, 8088)",3,[6046],Fam_8088=Unknown_Defense
"(1117, 7410)",3,[7410],Fam_1117=Pycsar__AG_cyclase
"(2150, 7619)",3,[7619],Fam_2150=Unknown_Defense
"(3534, 10447)",3,[3534],Fam_10447=DarTG__DarT
"(185, 4939)",3,"[185, 4939]",Pure_Novel_System
"(10159, 11963)",3,[10159],Fam_11963=csx16_III_1
"(3661, 6174)",3,[6174],Fam_3661=Unknown_Defense
"(11824, 12007)",3,[12007],Fam_11824=MazEF__MazE
"(1613, 2319)",3,[2319],Fam_1613=Unknown_Defense
