Architecture,Frequency,Novel_Subunits,Anchored_Known_System
"(5787, 11007)",2,"[5787, 11007]",Pure_Novel_System
"(197, 1293)",2,[1293],Fam_197=cas1_I_II_III_IV_V_VI_1
"(4048, 8880)",2,[8880],Fam_4048=Unknown_Defense
"(6878, 7563)",2,"[6878, 7563]",Pure_Novel_System
"(5674, 8045)",2,[8045],Fam_5674=AbiEii__AbiEii
"(2432, 9439)",2,"[2432, 9439]",Pure_Novel_System
"(12140, 12536)",2,[12536],Fam_12140=MazEF__MazE
"(541, 4309, 7057)",2,[4309],Fam_541=RM__Type_I_MTases; Fam_7057=AbiEii__AbiEii
"(359, 1927)",2,[1927],Fam_359=Unknown_Defense
"(151, 7887)",2,[7887],Fam_151=Wadjet__JetC_III
"(789, 5772)",2,[5772],Fam_789=RM_Type_II__Type_II_REases
"(1933, 7403)",2,[7403],Fam_1933=Unknown_Defense
"(5647, 10646)",2,[5647],Fam_10646=Unknown_Defense
"(1312, 6622)",2,[1312],Fam_6622=DISARM__drmC
"(8315, 11839)",2,[11839],Fam_8315=Shedu__SduA
"(3361, 10468)",2,[10468],Fam_3361=RM__Type_I_MTases
"(10414, 10875)",2,[10414],Fam_10875=Unknown_Defense
"(5937, 8154)",2,[8154],Fam_5937=Unknown_Defense
"(1187, 4243)",2,[1187],Fam_4243=Unknown_Defense
"(3839, 7443)",2,[3839],Fam_7443=AbiEii__AbiEii
"(5937, 6449)",2,[6449],Fam_5937=Unknown_Defense
"(4010, 5254)",2,[5254],Fam_4010=Unknown_Defense
"(1317, 2496)",2,[1317],Fam_2496=RM_Type_IIG__Type_IIG
"(8230, 10185)",2,[10185],Fam_8230=Unknown_Defense
"(7445, 9402)",2,[7445],Fam_9402=Unknown_Defense
"(11660, 11804)",2,[11660],Fam_11804=PfiAT__PfiA
"(8514, 8662)",2,[8514],Fam_8662=Unknown_Defense
"(4934, 8494)",2,[8494],Fam_4934=RM_Type_II__Type_II_MTases
"(4049, 7333)",2,"[4049, 7333]",Pure_Novel_System
"(9226, 11742)",2,[11742],Fam_9226=CBASS__Jab
"(9376, 12425)",2,[12425],Fam_9376=Unknown_Defense
"(1875, 2209)",2,[2209],Fam_1875=Unknown_Defense
"(3296, 12143)",2,[3296],Fam_12143=cas2_I_II_III_IV_V_VI_3
"(8681, 9663)",2,[8681],Fam_9663=cas2_I_II_III_IV_V_VI_3
"(9214, 11476)",2,[9214],Fam_11476=MazEF__MazF
"(5123, 10599)",2,[5123],Fam_10599=Unknown_Defense
"(2995, 3312)",2,[3312],Fam_2995=cas1_I_II_III_IV_V_VI_1
"(1052, 1809)",2,[1052],Fam_1809=Unknown_Defense
"(4979, 7852)",2,[4979],Fam_7852=ShosTA__ShosT
"(2948, 9151)",2,[9151],Fam_2948=AbiL__AbiLi2
"(2515, 10255)",2,[2515],Fam_10255=Unknown_Defense
"(3818, 11327)",2,[3818],Fam_11327=RosmerTA__RmrT
"(1671, 2152)",2,[1671],Fam_2152=csx1_III_9
"(1535, 3514)",2,[3514],Fam_1535=RM__Type_I_MTases
"(1394, 2579)",2,[2579],Fam_1394=pAgo__SIR2APAZ
"(7262, 7506)",2,[7262],Fam_7506=Unknown_Defense
"(1205, 10852)",2,[10852],Fam_1205=Unknown_Defense
"(8557, 9652)",2,[9652],Fam_8557=Unknown_Defense
"(6520, 10683)",2,[6520],Fam_10683=Unknown_Defense
"(3355, 7190)",2,[7190],Fam_3355=MADS__mad3
"(4242, 9280)",2,"[4242, 9280]",Pure_Novel_System
"(1814, 3253)",2,[3253],Fam_1814=RM__Type_I_MTases
"(9704, 10023)",2,[10023],Fam_9704=DarTG__DarT
"(4201, 6171)",2,[4201],Fam_6171=Unknown_Defense
"(2387, 12848)",2,[2387],Fam_12848=Unknown_Defense
"(8081, 11452)",2,[11452],Fam_8081=Unknown_Defense
"(1990, 4523)",2,[4523],Fam_1990=cas1_I_II_III_IV_V_VI_1
"(681, 1622, 1630)",2,[681],Fam_1622=RM_Type_IV__Type_IV_REases; Fam_1630=Unknown_Defense
"(2723, 3876)",2,[2723],Fam_3876=cas1_I_II_III_IV_V_VI_1
"(3165, 4078, 9339)",2,[9339],Fam_3165=Unknown_Defense; Fam_4078=Unknown_Defense
"(10470, 12303)",2,[12303],Fam_10470=csx16_III_1
"(1026, 3208)",2,[3208],Fam_1026=Unknown_Defense
"(5530, 7230)",2,[7230],Fam_5530=Unknown_Defense
"(10802, 12249)",2,[12249],Fam_10802=MazEF__MazF
"(4439, 8069)",2,[8069],Fam_4439=SanaTA__SanaT
"(7895, 8991)",2,[8991],Fam_7895=Unknown_Defense
"(10163, 11211)",2,[10163],Fam_11211=Unknown_Defense
"(6912, 12420)",2,[12420],Fam_6912=cas1_I_II_III_IV_V_VI_1
"(8112, 9235)",2,[9235],Fam_8112=AbiEii__AbiEii
"(4589, 5224)",2,[4589],Fam_5224=Unknown_Defense
"(2980, 12192)",2,[12192],Fam_2980=Unknown_Defense
"(4691, 10068)",2,[10068],Fam_4691=cas1_I_II_III_IV_V_VI_10
"(5464, 6832, 6930)",2,[5464],Fam_6832=Unknown_Defense; Fam_6930=Unknown_Defense
"(6558, 7953)",2,[7953],Fam_6558=AbiEii__AbiEii
"(1396, 1831)",2,[1831],Fam_1396=Unknown_Defense
"(6352, 7896)",2,[7896],Fam_6352=AbiEii__AbiEii
"(847, 1616)",2,[1616],Fam_847=RM_Type_III__Type_III_REases
"(3487, 6430)",2,[3487],Fam_6430=Unknown_Defense
"(259, 354)",2,"[259, 354]",Pure_Novel_System
"(4882, 10307)",2,"[4882, 10307]",Pure_Novel_System
"(4204, 6526)",2,"[4204, 6526]",Pure_Novel_System
"(4194, 5252)",2,[4194],Fam_5252=AbiEii__AbiEii
"(317, 1284)",2,[317],Fam_1284=Unknown_Defense
"(1383, 2699)",2,[2699],Fam_1383=RM__Type_I_MTases
"(9285, 9510)",2,[9285],Fam_9510=Unknown_Defense
"(781, 2433)",2,[781],Fam_2433=BREX__brxB_DUF1788
"(2751, 3706)",2,[3706],Fam_2751=Unknown_Defense
"(1066, 9679)",2,[9679],Fam_1066=Unknown_Defense
"(4436, 7315)",2,[4436],Fam_7315=JukAB__JukB
"(655, 3512)",2,[655],Fam_3512=Wadjet__JetD_I
"(4053, 8367)",2,[4053],Fam_8367=Dpd__DpdB
"(167, 2355)",2,[2355],Fam_167=Unknown_Defense
"(11820, 12731)",2,"[11820, 12731]",Pure_Novel_System
"(4287, 4593)",2,"[4287, 4593]",Pure_Novel_System
"(1083, 4675)",2,[4675],Fam_1083=Pycsar__AG_cyclase
"(2923, 6133)",2,[2923],Fam_6133=Unknown_Defense
"(5050, 12326)",2,[5050],Fam_12326=Unknown_Defense
"(2993, 7954)",2,[7954],Fam_2993=AbiL__AbiLi2
"(6920, 7236)",2,[7236],Fam_6920=AbiEii__AbiEii
"(900, 5320)",2,[900],Fam_5320=Unknown_Defense
"(3296, 8649, 12143)",2,[3296],Fam_8649=cas4_I_II_III_IV_V_VI_1; Fam_12143=cas2_I_II_III_IV_V_VI_3
"(3829, 6299)",2,[6299],Fam_3829=PARIS_II__AriA_AAA21
"(4731, 11969)",2,[4731],Fam_11969=Unknown_Defense
"(6631, 11091)",2,[11091],Fam_6631=Unknown_Defense
"(665, 4626)",2,[4626],Fam_665=Gao_Iet__IetS
"(2692, 4830)",2,[4830],Fam_2692=Unknown_Defense
"(6857, 7328)",2,[6857],Fam_7328=Unknown_Defense
"(648, 959)",2,[648],Fam_959=BREX__brxL
"(4972, 9541)",2,"[4972, 9541]",Pure_Novel_System
"(661, 8134)",2,[8134],Fam_661=Unknown_Defense
"(2000, 2967)",2,[2967],Fam_2000=Unknown_Defense
"(1353, 4670)",2,[1353],Fam_4670=Unknown_Defense
"(1966, 2368)",2,[2368],Fam_1966=Unknown_Defense
"(2791, 6314)",2,[2791],Fam_6314=RM_Type_II__Type_II_REases
"(5630, 5907, 6200)",2,[5907],Fam_5630=AbiEii__AbiEi; Fam_6200=AbiEii__AbiEii
"(3433, 11037)",2,[11037],Fam_3433=RosmerTA__RmrA
"(7231, 10440)",2,[10440],Fam_7231=Unknown_Defense
"(9455, 11835)",2,[11835],Fam_9455=Unknown_Defense
"(10199, 12494)",2,[12494],Fam_10199=Dpd__DpdC
"(10271, 12060)",2,[12060],Fam_10271=Unknown_Defense
"(1323, 4373)",2,[1323],Fam_4373=Unknown_Defense
"(11513, 11939)",2,[11513],Fam_11939=Mok_Hok_Sok__Mok
"(12196, 12396)",2,[12396],Fam_12196=Unknown_Defense
"(3024, 5560)",2,[3024],Fam_5560=RM_Type_II__Type_II_REases
"(1773, 2121)",2,[2121],Fam_1773=Unknown_Defense
"(6833, 8074)",2,[6833],Fam_8074=AbiEii__AbiEi
"(6558, 8390)",2,[8390],Fam_6558=AbiEii__AbiEii
"(2878, 8912)",2,[8912],Fam_2878=AbiL__AbiLi2
"(377, 2727)",2,[2727],Fam_377=RM__Type_I_REases
"(184, 3266)",2,[3266],Fam_184=Wadjet__JetC_I
"(2127, 2314)",2,[2314],Fam_2127=pAgo__SIR2APAZ
"(5488, 7057)",2,[5488],Fam_7057=AbiEii__AbiEii
"(1925, 5557)",2,[1925],Fam_5557=Unknown_Defense
"(1881, 6413)",2,[6413],Fam_1881=cas1_I_II_III_IV_V_VI_1
"(4623, 6582)",2,"[4623, 6582]",Pure_Novel_System
"(2400, 3706)",2,[3706],Fam_2400=Unknown_Defense
"(259, 1468)",2,[259],Fam_1468=Unknown_Defense
"(2339, 7454)",2,[7454],Fam_2339=RM_Type_II__Type_II_MTases
"(2356, 9442)",2,[2356],Fam_9442=cas2_I_II_III_IV_V_VI_3
"(8565, 11529)",2,[8565],Fam_11529=Unknown_Defense
"(894, 2879, 5801)",2,[5801],Fam_894=BREX__brxHI; Fam_2879=BREX__brxD
"(477, 10009)",2,[477],Fam_10009=Unknown_Defense
"(9663, 10329)",2,[10329],Fam_9663=cas2_I_II_III_IV_V_VI_3
"(7428, 9145)",2,[7428],Fam_9145=AbiEii__AbiEi
"(2568, 8144)",2,[8144],Fam_2568=pAgo__pAgo_S1B
"(11129, 12291)",2,[12291],Fam_11129=MazEF__MazF
"(11600, 12755)",2,[11600],Fam_12755=PfiAT__PfiA
"(5837, 10669)",2,[5837],Fam_10669=Unknown_Defense
"(8036, 9917)",2,[9917],Fam_8036=ShosTA__ShosT
"(1764, 9844)",2,[9844],Fam_1764=Wadjet__JetA_III
"(2978, 3905)",2,[2978],Fam_3905=Unknown_Defense
"(788, 8698)",2,[8698],Fam_788=RM_Type_IV__Type_IV_REases
"(6424, 7530)",2,[6424],Fam_7530=Unknown_Defense
"(4200, 9539)",2,[4200],Fam_9539=Unknown_Defense
"(11453, 12011)",2,[11453],Fam_12011=Unknown_Defense
"(5983, 8030)",2,[5983],Fam_8030=Unknown_Defense
"(8164, 8902)",2,"[8164, 8902]",Pure_Novel_System
"(1661, 9352)",2,"[1661, 9352]",Pure_Novel_System
"(1227, 5286)",2,[1227],Fam_5286=RM_Type_II__Type_II_MTases
"(10109, 11811)",2,[11811],Fam_10109=Unknown_Defense
"(3597, 10731)",2,[10731],Fam_3597=Pycsar__AG_cyclase
"(897, 9071)",2,[9071],Fam_897=Pycsar__AG_cyclase
"(4151, 11663)",2,[11663],Fam_4151=GAPS4__GAPS4b
"(458, 2457)",2,[2457],Fam_458=Unknown_Defense
"(9468, 11624)",2,[9468],Fam_11624=Unknown_Defense
"(2064, 4734)",2,"[2064, 4734]",Pure_Novel_System
"(10145, 10776)",2,"[10145, 10776]",Pure_Novel_System
"(2815, 4845)",2,[2815],Fam_4845=AbiEii__AbiEii
"(1182, 3893)",2,[3893],Fam_1182=Unknown_Defense
"(10211, 11543)",2,"[10211, 11543]",Pure_Novel_System
"(6059, 8836)",2,[6059],Fam_8836=Unknown_Defense
"(187, 3307)",2,[3307],Fam_187=Pycsar__AG_cyclase
"(6129, 10421)",2,[10421],Fam_6129=Druantia_I__DruD
"(929, 2629)",2,[929],Fam_2629=Unknown_Defense
"(7446, 7487)",2,[7446],Fam_7487=Unknown_Defense
"(6530, 9346)",2,[9346],Fam_6530=Unknown_Defense
"(49, 1539, 3961, 6502)",2,[6502],Fam_49=Wadjet__JetC_II; Fam_1539=Wadjet__JetA_III; Fam_3961=Wadjet__JetD_II
"(2556, 9833)",2,[2556],Fam_9833=Unknown_Defense
"(1092, 9981)",2,[9981],Fam_1092=PsyrTA__PsyrT
"(3532, 3679, 5338)",2,[5338],Fam_3532=RM_Type_II__Type_II_REases; Fam_3679=RM_Type_II__Type_II_MTases
"(4302, 5665)",2,[4302],Fam_5665=RM_Type_II__Type_II_REases
"(552, 1241)",2,[1241],Fam_552=Azaca__ZacC
"(9401, 12602)",2,[9401],Fam_12602=cas2_I_II_III_IV_V_VI_3
"(536, 1951)",2,[1951],Fam_536=Unknown_Defense
"(3847, 4481)",2,[3847],Fam_4481=Unknown_Defense
"(9273, 11473)",2,[11473],Fam_9273=Unknown_Defense
"(152, 4482)",2,[4482],Fam_152=Wadjet__JetC_II
"(2075, 4945)",2,[4945],Fam_2075=CBASS__Jab
"(4342, 12204)",2,[4342],Fam_12204=Unknown_Defense
"(2157, 8557)",2,[2157],Fam_8557=Unknown_Defense
"(11304, 12101)",2,[12101],Fam_11304=Unknown_Defense
"(3502, 6545)",2,[3502],Fam_6545=Unknown_Defense
"(1249, 4993)",2,"[1249, 4993]",Pure_Novel_System
"(6631, 8162)",2,[8162],Fam_6631=Unknown_Defense
"(4410, 10564)",2,[4410],Fam_10564=Unknown_Defense
"(4940, 6840)",2,[6840],Fam_4940=Unknown_Defense
"(3374, 6547)",2,[6547],Fam_3374=RM_Type_II__Type_II_MTases
"(413, 8484)",2,[413],Fam_8484=AbiEii__AbiEii
"(1965, 5565)",2,[1965],Fam_5565=Unknown_Defense
"(3453, 9561)",2,[3453],Fam_9561=Unknown_Defense
"(5577, 6562)",2,[5577],Fam_6562=Unknown_Defense
"(4411, 8739)",2,[8739],Fam_4411=Unknown_Defense
"(1861, 9388)",2,[9388],Fam_1861=cas1_I_II_III_IV_V_VI_1
"(5814, 8165)",2,[8165],Fam_5814=AbiEii__AbiEii
"(8987, 11209)",2,[8987],Fam_11209=MazEF__MazF
"(6511, 7361)",2,[7361],Fam_6511=csx1_III_9
"(5197, 8689)",2,[5197],Fam_8689=AbiEii__AbiEii
"(9606, 10445)",2,"[9606, 10445]",Pure_Novel_System
"(2506, 5211)",2,[2506],Fam_5211=Unknown_Defense
"(491, 4835)",2,[491],Fam_4835=Unknown_Defense
"(1981, 9919)",2,[9919],Fam_1981=cas1_I_II_III_IV_V_VI_1
"(2989, 8271)",2,[2989],Fam_8271=Unknown_Defense
"(7425, 7747)",2,"[7425, 7747]",Pure_Novel_System
"(8000, 10799)",2,[10799],Fam_8000=MazEF__MazF
"(657, 3363)",2,"[657, 3363]",Pure_Novel_System
"(174, 4293)",2,[4293],Fam_174=RM_Type_IIG__Type_IIG
"(1798, 4551)",2,[4551],Fam_1798=Pycsar__AG_cyclase
"(10482, 11768)",2,[11768],Fam_10482=MazEF__MazF
"(10144, 11316)",2,"[10144, 11316]",Pure_Novel_System
"(625, 7845)",2,[7845],Fam_625=Dnd_ABCDEFGH__DptF
"(4641, 5904)",2,[5904],Fam_4641=AbiEii__AbiEi
"(10105, 12221)",2,[12221],Fam_10105=MazEF__MazF
"(7277, 12102)",2,[7277],Fam_12102=Unknown_Defense
"(2371, 6972)",2,[6972],Fam_2371=Unknown_Defense
"(5718, 6814)",2,[5718],Fam_6814=Unknown_Defense
"(9495, 12099)",2,[12099],Fam_9495=Unknown_Defense
"(8871, 12530)",2,[8871],Fam_12530=Unknown_Defense
"(11763, 11919)",2,[11763],Fam_11919=Unknown_Defense
"(1842, 8607)",2,[8607],Fam_1842=CBASS__QueC
"(8967, 11800)",2,[8967],Fam_11800=Unknown_Defense
"(6470, 6501)",2,[6501],Fam_6470=AbiEii__AbiEii
"(3953, 4550)",2,[4550],Fam_3953=cas2_I_II_III_IV_V_VI_3
"(1457, 2226, 7507, 10020)",2,"[1457, 7507, 10020]",Fam_2226=Unknown_Defense
"(5391, 9274)",2,[9274],Fam_5391=DarTG__DarG
"(2835, 5659)",2,[2835],Fam_5659=Unknown_Defense
"(896, 9071)",2,[9071],Fam_896=Pycsar__AG_cyclase
"(1005, 1233)",2,[1233],Fam_1005=Unknown_Defense
"(3849, 6125)",2,[3849],Fam_6125=Unknown_Defense
"(10604, 11020)",2,[11020],Fam_10604=Unknown_Defense
"(3993, 7961, 11795)",2,[7961],Fam_3993=cas1_I_II_III_IV_V_VI_6; Fam_11795=cas2_I_II_III_IV_V_VI_3
"(2676, 9006)",2,"[2676, 9006]",Pure_Novel_System
"(5106, 6196)",2,[5106],Fam_6196=SanaTA__SanaT
"(11719, 12553)",2,[11719],Fam_12553=MazEF__MazE
"(11664, 12169)",2,"[11664, 12169]",Pure_Novel_System
"(1131, 4098)",2,[4098],Fam_1131=pAgo__pAgo_S1B
"(7571, 10051)",2,[10051],Fam_7571=AbiEii__AbiEii
"(3870, 11263)",2,[11263],Fam_3870=MazEF__MazE
"(483, 861)",2,[861],Fam_483=RM_Type_III__Type_III_REases
"(121, 7824)",2,[7824],Fam_121=Wadjet__JetC_III
"(7294, 9384)",2,"[7294, 9384]",Pure_Novel_System
"(1135, 3058)",2,[3058],Fam_1135=Unknown_Defense
"(2334, 3192)",2,[3192],Fam_2334=Unknown_Defense
"(7274, 10819)",2,[7274],Fam_10819=Unknown_Defense
"(38, 7633)",2,[7633],Fam_38=Mokosh_type_I__MkoA_D
"(574, 603)",2,[603],Fam_574=RM_Type_III__Type_III_REases
"(1612, 2404)",2,[2404],Fam_1612=Unknown_Defense
"(4275, 7324)",2,[4275],Fam_7324=RM_Type_II__Type_II_REases
"(4655, 5359)",2,[4655],Fam_5359=SanaTA__SanaT
"(7686, 9428)",2,[7686],Fam_9428=AbiEii__AbiEi
"(7205, 12817)",2,[12817],Fam_7205=Unknown_Defense
"(2381, 6577)",2,[6577],Fam_2381=Unknown_Defense
"(5636, 8556)",2,[5636],Fam_8556=Wadjet__JetB_III
"(3204, 8738)",2,[3204],Fam_8738=Unknown_Defense
"(2234, 12035)",2,[2234],Fam_12035=Unknown_Defense
"(674, 3253)",2,[3253],Fam_674=BREX__brxL
"(8240, 9363)",2,[9363],Fam_8240=Unknown_Defense
"(1376, 5260)",2,[1376],Fam_5260=AbiQ__AbiQ
"(1139, 4982, 9166)",2,[9166],Fam_1139=Hachiman__HamB; Fam_4982=Unknown_Defense
"(4667, 5898)",2,[4667],Fam_5898=Unknown_Defense
"(6281, 11947)",2,[6281],Fam_11947=Butters_gp30_gp31__Butters_gp31
"(8372, 9991)",2,[9991],Fam_8372=cas2_I_II_III_IV_V_VI_3
"(4216, 4967)",2,[4967],Fam_4216=BREX__brxA_DUF1819
"(3154, 5279)",2,[3154],Fam_5279=RM_Type_II__Type_II_REases
"(2958, 3190)",2,[2958],Fam_3190=AbiEii__AbiEii
"(5791, 9548)",2,"[5791, 9548]",Pure_Novel_System
"(2492, 6473)",2,[6473],Fam_2492=dGTPase__Sp_dGTPase
"(1315, 4447)",2,[1315],Fam_4447=Unknown_Defense
"(3554, 6643)",2,[3554],Fam_6643=Unknown_Defense
"(6146, 8431)",2,[6146],Fam_8431=Unknown_Defense
"(710, 2530)",2,[2530],Fam_710=Unknown_Defense
"(3099, 5386)",2,[3099],Fam_5386=Unknown_Defense
"(5917, 8726)",2,"[5917, 8726]",Pure_Novel_System
"(2884, 3287, 5216, 6266)",2,[3287],Fam_2884=PARIS_I__AriA_AAA15; Fam_5216=PARIS_I__AriB_DUF4435_I; Fam_6266=Unknown_Defense
"(11992, 12164)",2,"[11992, 12164]",Pure_Novel_System
"(2569, 7299)",2,[2569],Fam_7299=AbiL__AbiLii2
"(694, 2374)",2,[694],Fam_2374=Wadjet__JetD_I
"(1573, 9069)",2,[1573],Fam_9069=Unknown_Defense
"(3080, 9911)",2,[3080],Fam_9911=Unknown_Defense
"(6740, 7860)",2,"[6740, 7860]",Pure_Novel_System
"(2044, 6884)",2,[6884],Fam_2044=Unknown_Defense
"(912, 8425)",2,"[912, 8425]",Pure_Novel_System
"(5998, 6359)",2,"[5998, 6359]",Pure_Novel_System
"(2698, 10096)",2,[2698],Fam_10096=Unknown_Defense
"(2892, 8161)",2,[8161],Fam_2892=Wadjet__JetB_II
"(1036, 2781)",2,[2781],Fam_1036=RM_Type_II__Type_II_MTases
"(1009, 1229)",2,[1009],Fam_1229=Pycsar__AG_cyclase
"(10291, 12100)",2,[12100],Fam_10291=Unknown_Defense
"(85, 1782)",2,"[85, 1782]",Pure_Novel_System
"(3727, 8986)",2,[8986],Fam_3727=PARIS_II__AriA_AAA21
"(12112, 12518)",2,[12518],Fam_12112=MazEF__MazE
"(490, 1803, 2040)",2,[2040],Fam_490=RM_Type_II__Type_II_REases; Fam_1803=RM_Type_II__Type_II_MTases
"(6961, 8329)",2,[8329],Fam_6961=csx16_III_1
"(1266, 2859)",2,"[1266, 2859]",Pure_Novel_System
"(11807, 12165)",2,[11807],Fam_12165=Unknown_Defense
"(7340, 10262)",2,[10262],Fam_7340=Unknown_Defense
"(3974, 10047)",2,[10047],Fam_3974=Unknown_Defense
"(4232, 7275)",2,[7275],Fam_4232=pAgo__XAPAZ
"(5505, 5538)",2,[5538],Fam_5505=AbiEii__AbiEii
"(7228, 8481)",2,[8481],Fam_7228=Unknown_Defense
"(2640, 7620)",2,[7620],Fam_2640=AbiL__AbiLi2
"(3823, 7843)",2,[3823],Fam_7843=PARIS_II__AriB_DUF4435_II
"(4992, 6647)",2,[4992],Fam_6647=Wadjet__JetA_II
"(3407, 5967)",2,[3407],Fam_5967=Unknown_Defense
"(819, 10182)",2,[10182],Fam_819=RM_Type_IV__Type_IV_REases
"(1079, 2437)",2,[2437],Fam_1079=Eleos__LeoBC
"(6558, 8351)",2,[8351],Fam_6558=AbiEii__AbiEii
"(1095, 5931)",2,[1095],Fam_5931=cas1_I_II_III_IV_V_VI_1
"(4225, 8590)",2,[8590],Fam_4225=SanaTA__SanaT
"(1514, 6910)",2,[6910],Fam_1514=Unknown_Defense
"(2600, 5923)",2,[2600],Fam_5923=Unknown_Defense
"(2640, 7365)",2,[7365],Fam_2640=AbiL__AbiLi2
"(6242, 10791)",2,[6242],Fam_10791=Unknown_Defense
"(538, 1973)",2,[1973],Fam_538=Dpd__DpdF
"(2710, 6163)",2,[2710],Fam_6163=AbiEii__AbiEii
"(938, 8401)",2,[8401],Fam_938=csx1_III_10
"(4697, 5862)",2,[4697],Fam_5862=Wadjet__JetD_III
"(6958, 7241)",2,"[6958, 7241]",Pure_Novel_System
"(815, 3761)",2,[815],Fam_3761=Unknown_Defense
"(8218, 8341)",2,[8218],Fam_8341=Unknown_Defense
"(4148, 4433)",2,[4148],Fam_4433=Unknown_Defense
"(7773, 9358)",2,[7773],Fam_9358=Unknown_Defense
"(5782, 6661)",2,[6661],Fam_5782=Unknown_Defense
"(5394, 10822)",2,"[5394, 10822]",Pure_Novel_System
"(3989, 9300)",2,[3989],Fam_9300=Unknown_Defense
"(324, 12147)",2,[12147],Fam_324=Unknown_Defense
"(451, 1759)",2,[1759],Fam_451=Lit__Lit
"(4018, 11485)",2,[4018],Fam_11485=Unknown_Defense
"(11067, 12539)",2,[12539],Fam_11067=MazEF__MazF
"(9931, 11906)",2,[9931],Fam_11906=Unknown_Defense
"(3822, 4060)",2,"[3822, 4060]",Pure_Novel_System
"(3762, 3922, 4027)",2,[3922],Fam_3762=Menshen__NsnA; Fam_4027=Menshen__NsnB
"(4552, 7113)",2,[4552],Fam_7113=Unknown_Defense
"(471, 8843)",2,[8843],Fam_471=Wadjet__JetC_I
"(7582, 9168)",2,[9168],Fam_7582=Unknown_Defense
"(1812, 9476)",2,[9476],Fam_1812=Wadjet__JetD_III
"(62, 5578)",2,[5578],Fam_62=RM__Type_I_REases
"(2764, 7581)",2,[2764],Fam_7581=AbiD__AbiD
"(6995, 11099)",2,[11099],Fam_6995=Unknown_Defense
"(778, 1742)",2,[1742],Fam_778=Unknown_Defense
"(1035, 2118, 4817)",2,[4817],Fam_1035=RM__Type_I_MTases; Fam_2118=Unknown_Defense
