Composition,Frequency,Novel_Family_ID,Known_System_Function
"(1708, 1936)",7,[1708],Fam1936=RM_Type_IV__Type_IV_REases
"(7552, 8664)",7,[7552],Fam8664=Zorya__ZorB
"(7644, 8952)",7,"[7644, 8952]",Pure_Novel_System
"(9042, 10430)",7,[10430],Fam9042=AbiEii__AbiEii
"(1552, 8010)",7,[8010],Fam1552=Zorya__ZorA
"(11335, 12014)",7,[12014],Fam11335=PfiAT__PfiA
"(11972, 11978)",7,[11978],Fam11972=PfiAT__PfiT
"(8463, 9984)",7,[9984],Fam8463=AbiEii__AbiEii
"(5407, 6009)",7,[5407],Fam6009=Zorya__ZorB
"(11749, 12595)",7,[12595],Fam11749=MazEF__MazF
"(1499, 8483)",7,[8483],Fam1499=Zorya__ZorA
"(3877, 5369)",7,"[3877, 5369]",Pure_Novel_System
"(6107, 8898, 11970, 12283)",7,[8898],Fam6107=cas1_I_II_III_IV_V_VI_10; Fam11970=cas2_I_II_III_IV_V_VI_3; Fam12283=cas2_I_II_III_IV_V_VI_3
"(7207, 9582)",7,[9582],Fam7207=AbiEii__AbiEii
"(11335, 12026)",7,[12026],Fam11335=PfiAT__PfiA
"(3744, 4528)",7,[3744],Fam4528=RM_Type_II__Type_II_MTases
"(6181, 7724)",7,[6181],Fam7724=AbiEii__AbiEii
"(5935, 7638)",7,[7638],Fam5935=RM_Type_II__Type_II_REases
"(6391, 6601)",6,[6391],Fam6601=Zorya__ZorB
"(615, 3864, 9573)",6,[3864],Fam615=Wadjet__JetC_I; Fam9573=Wadjet__JetB_I
"(3853, 8087)",6,[8087],Fam3853=AbiEii__AbiEii
"(3931, 4840)",6,"[3931, 4840]",Pure_Novel_System
"(1882, 1954)",6,[1954],Fam1882=Lamassu-Fam__LmuA_effector_Lipase
"(688, 3872)",6,"[688, 3872]",Pure_Novel_System
"(116, 4087, 5181)",6,[4087],Fam116=Wadjet__JetC_III; Fam5181=Wadjet__JetB_I
"(11910, 12274)",6,[11910],Fam12274=PfiAT__PfiA
"(11335, 11997)",6,[11997],Fam11335=PfiAT__PfiA
"(6010, 8785)",6,[8785],Fam6010=AbiEii__AbiEii
"(1552, 8407)",6,[8407],Fam1552=Zorya__ZorA
"(11378, 12421)",6,[11378],Fam12421=PfiAT__PfiA
"(7552, 8199)",6,[7552],Fam8199=Zorya__ZorB
"(5584, 7751)",6,[5584],Fam7751=AbiEii__AbiEii
"(1371, 6678)",6,[1371],Fam6678=Gao_Mza__MzaA
"(1146, 3342)",6,"[1146, 3342]",Pure_Novel_System
"(2033, 12058)",6,[12058],Fam2033=Retron_II__NDT2
"(929, 4424)",6,[4424],Fam929=Wadjet__JetC_III
"(2928, 8789)",6,[2928],Fam8789=Zorya__ZorB
"(5244, 8432)",6,[8432],Fam5244=RM_Type_II__Type_II_MTases
"(1269, 7994)",6,[7994],Fam1269=Zorya__ZorA
"(6693, 7175)",6,[7175],Fam6693=Retron_II__NDT
"(1284, 5357)",6,[5357],Fam1284=Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II
"(6111, 8000)",6,[6111],Fam8000=AbiEii__AbiEii
"(1552, 8515)",6,[8515],Fam1552=Zorya__ZorA
"(801, 2038)",6,[2038],Fam801=RM_Type_III__Type_III_REases
"(7123, 9990)",6,[9990],Fam7123=AbiEii__AbiEii
"(7395, 7604)",6,[7395],Fam7604=AbiEii__AbiEii
"(4210, 9195)",6,[4210],Fam9195=Zorya__ZorB
"(9647, 9647)",6,[9647],Pure_Novel_System
"(993, 9143)",6,[9143],Fam993=Zorya__ZorA
"(9177, 10132)",6,[10132],Fam9177=AbiEii__AbiEii
"(11455, 11735)",5,[11455],Fam11735=PD-T4-10__PD-T4-10_A
"(6097, 6601)",5,[6097],Fam6601=Zorya__ZorB
"(12056, 12444)",5,[12056],Fam12444=PfiAT__PfiA
"(4976, 8731)",5,[4976],Fam8731=Zorya__ZorB
"(11335, 11976)",5,[11976],Fam11335=PfiAT__PfiA
"(8322, 8576)",5,[8576],Fam8322=AbiEii__AbiEii
"(1167, 2232)",5,[2232],Fam1167=RM_Type_IIG__Type_IIG
"(11335, 11989)",5,[11989],Fam11335=PfiAT__PfiA
"(8275, 9985)",5,[9985],Fam8275=AbiEii__AbiEii
"(1284, 5357, 10656)",5,[5357],Fam1284=Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II; Fam10656=Wadjet__JetB_I
"(3620, 3620)",5,[3620],Pure_Novel_System
