Composition,Frequency,Novel_Family_ID,Known_System_Function
"(2298, 4458)",3,[4458],Fam2298=BREX__brxL
"(688, 4375)",3,"[688, 4375]",Pure_Novel_System
"(6169, 9182)",3,[9182],Fam6169=ShosTA__ShosT
"(639, 960)",3,[639],Fam960=Gao_RL__RL_C
"(106, 4047)",3,[106],Fam4047=BREX__brxL
"(4016, 4312)",3,[4016],Fam4312=Thoeris_I__ThsA_new_grand
"(5523, 10973)",3,[5523],Fam10973=Menshen__NsnC_2726213746
"(4735, 9758)",3,[9758],Fam4735=AbiEii__AbiEii
"(4244, 4928, 8556)",3,[8556],Fam4244=Shango__SngB; Fam4928=BREX__brxD
"(6669, 9764)",3,[6669],Fam9764=Septu__PtuB
"(7437, 10385)",3,[7437],Fam10385=PD-T4-10__PD-T4-10_A
"(11335, 12029)",3,[12029],Fam11335=PfiAT__PfiA
"(7200, 7700)",3,[7200],Fam7700=RM_Type_II__Type_II_REases
"(1269, 7918)",3,[7918],Fam1269=Zorya__ZorA
"(11973, 12293)",3,[11973],Fam12293=PfiAT__PfiA
"(8525, 11025)",3,[11025],Fam8525=AbiEii__AbiEii
"(2577, 5708)",3,[5708],Fam2577=CBASS__TRIP13
"(358, 7077)",3,[7077],Fam358=Wadjet__JetC_I
"(5357, 10656)",2,[5357],Fam10656=Wadjet__JetB_I
"(3108, 3990)",2,[3990],Fam3108=RM_Type_II__Type_II_REases
"(7997, 9147)",2,[9147],Fam7997=AbiEii__AbiEii
"(2137, 4348, 6248)",2,[2137],Fam4348=Dnd__DndC; Fam6248=Dnd__DndB
"(1125, 7153)",2,[1125],Fam7153=Septu__PtuB_2
"(4763, 6466)",2,[6466],Fam4763=Eleos__LeoBC
"(148, 3285, 8031)",2,[3285],Fam148=Wadjet__JetC_III; Fam8031=Wadjet__JetB_III
"(8317, 9851)",2,[9851],Fam8317=AbiEii__AbiEii
"(3769, 5598)",2,[3769],Fam5598=Eleos__LeoBC
"(8627, 10183)",2,[10183],Fam8627=AbiEii__AbiEii
"(8637, 10712)",2,[10712],Fam8637=AbiEii__AbiEii
"(5480, 11749)",2,[5480],Fam11749=MazEF__MazF
"(159, 3690, 6390)",2,[3690],Fam159=Wadjet__JetC_III; Fam6390=Wadjet__JetD_III
"(1659, 5518)",2,[1659],Fam5518=CBASS__Phospholipase
"(361, 2600)",2,"[361, 2600]",Pure_Novel_System
"(10084, 10108)",2,[10084],Fam10108=cas6_I-B_III_1
"(466, 5356)",2,[5356],Fam466=RM__Type_I_MTases
"(1094, 4264)",2,"[1094, 4264]",Pure_Novel_System
"(498, 2479)",2,"[498, 2479]",Pure_Novel_System
"(8275, 9912)",2,[9912],Fam8275=AbiEii__AbiEii
"(6018, 10871)",2,"[6018, 10871]",Pure_Novel_System
"(10978, 11559)",2,"[10978, 11559]",Pure_Novel_System
"(1835, 9143)",2,[9143],Fam1835=Zorya__ZorA
"(1393, 1569)",2,[1569],Fam1393=RM_Type_III__Type_III_REases
"(4352, 7139)",2,[7139],Fam4352=CBASS__AG_E1_ThiF
"(11420, 11969)",2,[11420],Fam11969=MazEF__MazF
"(11347, 11525)",2,[11525],Fam11347=Thoeris__ThsB_Global
"(5210, 10538)",2,[5210],Fam10538=RosmerTA__RmrT_2634932349
"(8213, 8948)",2,[8948],Fam8213=AbiEii__AbiEii
"(453, 1199)",2,[1199],Fam453=DmdDE__DdmD
"(6788, 8239)",2,"[6788, 8239]",Pure_Novel_System
"(1313, 7530)",2,[1313],Fam7530=Zorya__ZorB
"(10545, 11694)",2,[11694],Fam10545=PD-T4-9__PD-T4-9_A
"(723, 1397)",2,[1397],Fam723=RM_Type_III__Type_III_REases
"(373, 3224)",2,[3224],Fam373=Gabija__GajB_2
"(1396, 6666)",2,[1396],Fam6666=PsyrTA__PsyrA
"(5983, 6247)",2,[6247],Fam5983=RM_Type_II__Type_II_REases
"(1882, 2066)",2,[2066],Fam1882=Lamassu-Fam__LmuA_effector_Lipase
"(76, 334)",2,[334],Fam76=Druantia__DruE_1
"(442, 2226)",2,"[442, 2226]",Pure_Novel_System
"(7591, 12130)",2,[7591],Fam12130=cas2_I_II_III_IV_V_VI_13
"(1092, 11673)",2,[11673],Fam1092=Zorya_TypeI__ZorD
"(1961, 6052)",2,[6052],Fam1961=Pif__PifA
"(1269, 8936)",2,[8936],Fam1269=Zorya__ZorA
"(2560, 4894, 10162)",2,[10162],Fam2560=Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II; Fam4894=Lamassu-Fam__LmuA_effector_Cap4_nuclease_II
"(2671, 3163)",2,[3163],Fam2671=Gabija__GajA
"(5242, 6294)",2,"[5242, 6294]",Pure_Novel_System
"(7211, 10365)",2,[10365],Fam7211=CBASS__Cyclase_SMODS
"(1166, 4998)",2,[4998],Fam1166=Wadjet__JetC_I
"(1517, 2984)",2,[1517],Fam2984=Pycsar__AG_cyclase
"(3566, 3714)",2,[3714],Fam3566=Wadjet__JetA_III
"(2343, 7475)",2,[2343],Fam7475=Septu__PtuB_2
"(10154, 12233)",2,[10154],Fam12233=cas2_I_II_III_IV_V_VI_3
"(6411, 7820)",2,[6411],Fam7820=AbiEii__AbiEii
"(2318, 5000)",2,[5000],Fam2318=Shango__SngB
"(2318, 5422)",2,[5422],Fam2318=Shango__SngB
"(1140, 1729)",2,[1729],Fam1140=RM_Type_II__Type_II_REases
"(6389, 10360)",2,[6389],Fam10360=RM_Type_II__Type_II_REases
"(9447, 10315)",2,[10315],Fam9447=AbiEii__AbiEii
"(257, 1492)",2,[1492],Fam257=RM_Type_III__Type_III_REases
"(213, 4083)",2,[213],Fam4083=Zorya__ZorA
"(4244, 8556)",2,[8556],Fam4244=Shango__SngB
"(1826, 3340)",2,[1826],Fam3340=RosmerTA__RmrT_2585209417
"(544, 7850)",2,[544],Fam7850=SspBCDE__SspD
"(5745, 8217)",2,[5745],Fam8217=AbiEii__AbiEi_1
"(1420, 3149)",2,[3149],Fam1420=RM_Type_III__Type_III_REases
"(6265, 9884)",2,[6265],Fam9884=PD-T4-2__PD-T4-2_B
"(2159, 5905)",2,[2159],Fam5905=Retron__RT_Tot
"(2109, 11478)",2,[11478],Fam2109=RM_Type_IV__Type_IV_REases
"(11972, 12199)",2,[12199],Fam11972=PfiAT__PfiT
"(10621, 11298)",2,[11298],Fam10621=Thoeris__ThsB_Global
"(4606, 9695)",2,[9695],Fam4606=AbiL__AbiLi2
"(11798, 11971)",2,[11971],Fam11798=MazEF__MazF
"(3511, 3511)",2,[3511],Pure_Novel_System
"(9227, 10443)",2,[10443],Fam9227=AbiEii__AbiEii
"(9721, 10044)",2,[10044],Fam9721=cas6_I-B_III_1
"(2363, 5318)",2,[2363],Fam5318=CBASS__Phospholipase
"(11867, 12431)",2,[12431],Fam11867=MazEF__MazF
"(2065, 8697)",2,[8697],Fam2065=Gabija__GajB_2
"(175, 1139)",2,[1139],Fam175=RM_Type_IIG__Type_IIG
"(2252, 8960)",2,[2252],Fam8960=Zorya__ZorB
"(607, 2010)",2,[2010],Fam607=Shango__SngB
"(11707, 11707)",2,[11707],Pure_Novel_System
"(2282, 6749)",2,[2282],Fam6749=Hachiman__HamA_1
"(7630, 9594)",2,[7630],Fam9594=AbiEii__AbiEi_4
"(1660, 9073)",2,[1660],Fam9073=cas5_I-C_5
"(6607, 8013)",2,[6607],Fam8013=AbiEii__AbiEii
"(12044, 12444)",2,[12044],Fam12444=PfiAT__PfiA
"(8275, 9520)",2,[9520],Fam8275=AbiEii__AbiEii
"(5867, 7881)",2,[5867],Fam7881=AbiEii__AbiEii
"(8038, 9602)",2,[9602],Fam8038=AbiEii__AbiEii
"(6146, 9611)",2,[9611],Fam6146=SanaTA__SanaT
"(8362, 9930)",2,[9930],Fam8362=AbiEii__AbiEii
"(8363, 10068)",2,[10068],Fam8363=AbiEii__AbiEii
"(7986, 9744)",2,[9744],Fam7986=AbiEii__AbiEii
"(6108, 8604)",2,[8604],Fam6108=SanaTA__SanaT
"(6831, 7398)",2,[6831],Fam7398=Pycsar__AG_cyclase
"(1077, 2727)",2,"[1077, 2727]",Pure_Novel_System
"(318, 5017)",2,[5017],Fam318=Wadjet__JetC_III
"(3839, 9179)",2,[9179],Fam3839=cas10_III-D_3
"(9412, 10322)",2,[10322],Fam9412=AbiEii__AbiEii
"(2476, 3733)",2,"[2476, 3733]",Pure_Novel_System
"(9328, 10459)",2,[10459],Fam9328=AbiEii__AbiEii
"(332, 7719)",2,[332],Fam7719=Wadjet__JetD_I
"(607, 3117)",2,[3117],Fam607=Shango__SngB
"(2459, 10162)",2,[10162],Fam2459=Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II
"(5811, 7991)",2,[5811],Fam7991=AbiEii__AbiEii
"(5308, 8638)",2,[5308],Fam8638=AbiEii__AbiEi_3
"(6319, 9176)",2,[9176],Fam6319=AbiEii__AbiEii
"(4174, 5985)",2,[5985],Fam4174=RM_Type_II__Type_II_MTases
"(8363, 9985)",2,[9985],Fam8363=AbiEii__AbiEii
"(854, 4748)",2,[4748],Fam854=Wadjet__JetC_III
"(4286, 8586)",2,"[4286, 8586]",Pure_Novel_System
"(9224, 10390)",2,[10390],Fam9224=AbiEii__AbiEii
"(4088, 8756)",2,[8756],Fam4088=Gao_TerY__TerYC
"(1098, 3104, 8418)",2,[3104],Fam1098=Wadjet__JetC_III; Fam8418=Wadjet__JetB_I
"(5056, 6330, 6882)",2,[5056],Fam6330=RM_Type_II__Type_II_MTases; Fam6882=RM_Type_II__Type_II_REases
"(4496, 5337)",2,[4496],Fam5337=SspBCDE__SspD
"(456, 848)",2,[456],Fam848=RM_Type_III__Type_III_REases
"(1586, 9557)",2,[9557],Fam1586=cas3_I_2
"(2034, 2034)",2,[2034],Pure_Novel_System
"(5928, 9218)",2,[5928],Fam9218=CapRel__CapRel
"(6822, 7185)",2,"[6822, 7185]",Pure_Novel_System
"(1695, 7530)",2,[1695],Fam7530=Zorya__ZorB
"(12126, 12365)",2,[12126],Fam12365=PfiAT__PfiA
"(5573, 8796)",2,[8796],Fam5573=PsyrTA__PsyrA
"(6803, 10154)",2,[10154],Fam6803=cas1_I_II_III_IV_V_VI_1
"(83, 4087, 5181)",2,[4087],Fam83=Wadjet__JetC_III; Fam5181=Wadjet__JetB_I
"(3518, 5155)",2,[3518],Fam5155=Wadjet__JetD_II
"(6597, 7948)",2,[7948],Fam6597=Gao_TerY__TerYA
"(12522, 12618)",2,"[12522, 12618]",Pure_Novel_System
"(3727, 8789)",2,[3727],Fam8789=Zorya__ZorB
"(1829, 3078)",2,[1829],Fam3078=Eleos__LeoA
"(7980, 10520)",2,[10520],Fam7980=AbiEii__AbiEii
"(6257, 8927)",2,[8927],Fam6257=AbiEii__AbiEii
"(3816, 8963)",2,"[3816, 8963]",Pure_Novel_System
"(7821, 9562)",2,[7821],Fam9562=ShosTA__ShosT
"(7577, 7601)",2,[7577],Fam7601=AbiEii__AbiEii
"(4735, 9606)",2,[9606],Fam4735=AbiEii__AbiEii
"(1277, 5098)",2,[5098],Fam1277=Wadjet__JetC_I
"(7100, 8696)",2,[8696],Fam7100=AbiEii__AbiEii
"(427, 803)",2,"[427, 803]",Pure_Novel_System
"(4530, 5013)",2,[4530],Fam5013=Shango__SngB
"(8193, 9930)",2,[9930],Fam8193=AbiEii__AbiEii
"(9779, 10331)",2,[10331],Fam9779=AbiEii__AbiEii
"(1384, 3327)",2,[3327],Fam1384=RM_Type_III__Type_III_REases
"(3474, 4955)",2,[3474],Fam4955=Zorya__ZorB
"(8854, 10436)",2,[10436],Fam8854=AbiEii__AbiEii
"(2866, 6594)",2,"[2866, 6594]",Pure_Novel_System
"(6069, 8781)",2,[8781],Fam6069=AbiEii__AbiEii
"(7207, 9606)",2,[9606],Fam7207=AbiEii__AbiEii
"(6311, 10613)",2,[6311],Fam10613=AbiEii__AbiEi_4
"(10485, 11521)",2,[10485],Fam11521=FS_HsdR_like__HP
"(1181, 11311)",2,"[1181, 11311]",Pure_Novel_System
"(3338, 5926)",2,[3338],Fam5926=Zorya__ZorB
"(11866, 12595)",2,[12595],Fam11866=MazEF__MazF
"(1063, 6555)",2,[1063],Fam6555=RM_Type_IV__Type_IV_REases
"(4031, 5988)",2,[4031],Fam5988=SspBCDE__SspD
"(3367, 5926)",2,[3367],Fam5926=Zorya__ZorB
"(9574, 10841)",2,[10841],Fam9574=ShosTA__ShosT
"(607, 3793)",2,[3793],Fam607=Shango__SngB
"(7420, 8382)",2,"[7420, 8382]",Pure_Novel_System
"(12004, 12312)",2,[12004],Fam12312=PfiAT__PfiA
"(11629, 11944)",2,[11944],Fam11629=PfiAT__PfiA
"(7525, 9591)",2,[9591],Fam7525=AbiEii__AbiEii
"(8275, 9697)",2,[9697],Fam8275=AbiEii__AbiEii
"(8151, 9964)",2,[9964],Fam8151=AbiEii__AbiEii
"(6315, 10697)",2,[10697],Fam6315=CBASS__Cyclase_SMODS
"(6827, 11122)",2,[11122],Fam6827=cas1_I_II_III_IV_V_VI_1
"(8627, 10321)",2,[10321],Fam8627=AbiEii__AbiEii
"(7189, 10845)",2,[10845],Fam7189=Butters_gp30_gp31__Butters_gp30
"(12064, 12365)",2,[12064],Fam12365=PfiAT__PfiA
"(6698, 9549)",2,"[6698, 9549]",Pure_Novel_System
"(8610, 9168)",2,[9168],Fam8610=AbiEii__AbiEii
"(8769, 10131)",2,[10131],Fam8769=AbiEii__AbiEii
"(6771, 9369)",2,[9369],Fam6771=cas1_I_II_III_IV_V_VI_10
"(8361, 9697)",2,[9697],Fam8361=AbiEii__AbiEii
"(4309, 5491)",2,[4309],Fam5491=Zorya__ZorB
"(7252, 11470)",2,[11470],Fam7252=ShosTA__ShosA
"(6444, 10704)",2,"[6444, 10704]",Pure_Novel_System
"(7686, 10445)",2,[10445],Fam7686=AbiEii__AbiEii
"(2390, 5419)",2,[2390],Fam5419=CBASS__Phospholipase
"(3734, 6601, 7366)",2,[7366],Fam3734=Zorya__ZorA; Fam6601=Zorya__ZorB
"(6050, 8553)",2,[6050],Fam8553=Zorya__ZorB
"(7395, 7669)",2,[7395],Fam7669=AbiEii__AbiEii
"(6807, 6808)",2,[6808],Fam6807=AbiEii__AbiEii
"(5862, 8414)",2,[8414],Fam5862=RM_Type_II__Type_II_REases
"(1598, 8689)",2,[1598],Fam8689=Hachiman__HamA_1
"(4555, 11184)",2,"[4555, 11184]",Pure_Novel_System
"(1254, 9408)",2,"[1254, 9408]",Pure_Novel_System
"(11977, 12291)",2,"[11977, 12291]",Pure_Novel_System
"(3474, 5491)",2,[3474],Fam5491=Zorya__ZorB
"(3165, 9380)",2,[3165],Fam9380=Zorya__ZorB
"(1269, 8010)",2,[8010],Fam1269=Zorya__ZorA
"(6506, 9737)",2,[6506],Fam9737=AbiEii__AbiEii
"(2583, 6713)",2,[2583],Fam6713=WYL_I_II_III_IV_V_VI_1
"(3631, 8789)",2,[3631],Fam8789=Zorya__ZorB
"(6319, 9301)",2,[9301],Fam6319=AbiEii__AbiEii
"(1797, 1806)",2,[1797],Fam1806=Shango__SngA
"(2532, 5377)",2,[5377],Fam2532=PD-T4-6__PD-T4-6
"(1693, 4145)",2,"[1693, 4145]",Pure_Novel_System
"(539, 5487)",2,"[539, 5487]",Pure_Novel_System
"(5169, 10203)",2,[5169],Fam10203=Wadjet__JetB_I
"(812, 7113, 11918)",2,[812],Fam7113=cas1_I_II_III_IV_V_VI_5; Fam11918=cas2_I_II_III_IV_V_VI_6
"(6001, 8449)",2,[6001],Fam8449=AbiEii__AbiEii
"(492, 3968, 5465, 9331)",2,[3968],Fam492=Wadjet__JetC_I; Fam5465=Wadjet__JetD_I; Fam9331=Wadjet__JetB_I
"(7571, 9303)",2,[7571],Fam9303=Zorya__ZorB
"(399, 2212)",2,[2212],Fam399=RM_Type_III__Type_III_REases
"(1440, 2537)",2,[2537],Fam1440=RM_Type_III__Type_III_REases
"(4356, 4571)",2,[4571],Fam4356=Bunzi__BnzB
"(3038, 5668)",2,[3038],Fam5668=Zorya__ZorB
"(7042, 7886)",2,[7886],Fam7042=Zorya__ZorB
"(8819, 10205)",2,"[8819, 10205]",Pure_Novel_System
"(6905, 7802)",2,[6905],Fam7802=AbiEii__AbiEii
"(1484, 2674, 3258)",2,[1484],Fam2674=Retron__RT_Tot; Fam3258=Retron_XIII__WHSWIM
"(6224, 10236)",2,[10236],Fam6224=RM_Type_II__Type_II_MTases
"(79, 4454)",2,[79],Fam4454=Wadjet__JetA_III
"(1525, 8377)",2,[1525],Fam8377=Hachiman__HamA_1
"(2162, 4449)",2,[4449],Fam2162=BREX__brxL
"(5911, 10031)",2,[10031],Fam5911=AbiEii__AbiEii
"(513, 861)",2,[861],Fam513=BREX__brxHII
"(1252, 3232, 6533, 8555)",2,[3232],Fam1252=cas10_III-A_1; Fam6533=csm4gr5_III-A_3; Fam8555=csm3gr7_III-A_1
"(1899, 7563)",2,[7563],Fam1899=Eleos__LeoBC
"(12136, 12292)",2,[12136],Fam12292=PfiAT__PfiA
"(2513, 11115)",2,[11115],Fam2513=RM_Type_II__Type_II_REases
"(4735, 9853)",2,[9853],Fam4735=AbiEii__AbiEii
"(5974, 7443)",2,[5974],Fam7443=AbiEii__AbiEii
"(755, 6862)",2,[755],Fam6862=PsyrTA__PsyrA
"(688, 4100)",2,"[688, 4100]",Pure_Novel_System
"(494, 852, 2385)",2,[494],Fam852=RM_Type_III__Type_III_REases; Fam2385=RM_Type_III__Type_III_MTases
"(4917, 9639)",2,[9639],Fam4917=AbiEii__AbiEii
"(1867, 4391)",2,[4391],Fam1867=RM_Type_II__Type_II_REases
"(2189, 10580)",2,[10580],Fam2189=RM_Type_II__Type_II_REases
"(6393, 7679)",2,[6393],Fam7679=cmr4gr7_III-B_III-C_2
"(2957, 3563)",2,[2957],Fam3563=RM__Type_I_MTases
"(1659, 3389)",2,"[1659, 3389]",Pure_Novel_System
"(4698, 8603)",2,[4698],Fam8603=RM_Type_II__Type_II_REases
"(8626, 9912)",2,[9912],Fam8626=AbiEii__AbiEii
"(6257, 7808)",2,[7808],Fam6257=AbiEii__AbiEii
"(8213, 10223)",2,[10223],Fam8213=AbiEii__AbiEii
"(6988, 11060)",2,"[6988, 11060]",Pure_Novel_System
"(9178, 11059)",2,[11059],Fam9178=Thoeris__ThsB_Global
"(1090, 2216)",2,[1090],Fam2216=Azaca__ZacB
"(4199, 10232)",2,[4199],Fam10232=PD-T4-4__PD-T4-4_B
"(8900, 10040)",2,"[8900, 10040]",Pure_Novel_System
"(512, 893)",2,[512],Fam893=RM_Type_III__Type_III_REases
"(1037, 3104, 5173)",2,[3104],Fam1037=Wadjet__JetC_III; Fam5173=Wadjet__JetD_I
"(3779, 7078)",2,"[3779, 7078]",Pure_Novel_System
"(7920, 10080)",2,[10080],Fam7920=AbiEii__AbiEii
"(8455, 11080)",2,[11080],Fam8455=AbiEii__AbiEi_3
"(11830, 12482)",2,[11830],Fam12482=MazEF__MazE
"(452, 3783, 9304)",2,[9304],Fam452=Wadjet__JetC_III; Fam3783=Wadjet__JetA_III
"(8712, 9937)",2,[9937],Fam8712=AbiEii__AbiEii
"(5138, 8690)",2,[8690],Fam5138=cas8f_I-F_8
"(4147, 8053)",2,[8053],Fam4147=AbiEii__AbiEii
"(6069, 8032)",2,[8032],Fam6069=AbiEii__AbiEii
"(5725, 6340)",2,[5725],Fam6340=PD-Lambda-5__PD-Lambda-5_B
"(1462, 7109)",2,[7109],Fam1462=Gao_RL__RL_A
"(2460, 2855)",2,[2460],Fam2855=Lamassu-Fam__LmuA_effector_Protease
"(128, 2292)",2,"[128, 2292]",Pure_Novel_System
"(8732, 10397)",2,[10397],Fam8732=AbiEii__AbiEii
"(2603, 9005)",2,[9005],Fam2603=RM_Type_II__Type_II_MTases
"(1488, 10992)",2,[10992],Fam1488=Shango__SngC
"(3883, 4151)",2,[3883],Fam4151=Septu__PtuA
"(2154, 8421)",2,[8421],Fam2154=Zorya__ZorA
"(8361, 9404)",2,[9404],Fam8361=AbiEii__AbiEii
"(6069, 7808)",2,[7808],Fam6069=AbiEii__AbiEii
"(1250, 2232)",2,[2232],Fam1250=RM_Type_IIG__Type_IIG
"(6774, 7413)",2,[7413],Fam6774=RM_Type_II__Type_II_REases
"(8004, 10225)",2,[10225],Fam8004=AbiEii__AbiEii
"(5577, 9748)",2,[9748],Fam5577=RM_Type_II__Type_II_MTases
"(8275, 9970)",2,[9970],Fam8275=AbiEii__AbiEii
"(7713, 8709)",2,[8709],Fam7713=Zorya__ZorB
"(1257, 8421)",2,[8421],Fam1257=Zorya__ZorA
"(3322, 9692)",2,[3322],Fam9692=Zorya__ZorB
"(3143, 7670)",2,[7670],Fam3143=RM_Type_II__Type_II_MTases
"(3115, 8825)",2,[3115],Fam8825=Zorya__ZorB
"(4528, 11073)",2,[11073],Fam4528=RM_Type_II__Type_II_MTases
"(10784, 10932)",2,[10932],Fam10784=Thoeris__ThsB_Global
"(2189, 7401)",2,[7401],Fam2189=RM_Type_II__Type_II_REases
"(4137, 7118)",2,[4137],Fam7118=Zorya__ZorB
"(690, 1001)",2,[690],Fam1001=Mokosh_type_I__MkoA_E
"(2937, 8461)",2,[2937],Fam8461=Zorya__ZorB
"(1835, 8693)",2,[8693],Fam1835=Zorya__ZorA
"(1096, 4345, 9101)",2,[9101],Fam1096=Wadjet__JetC_III; Fam4345=Wadjet__JetA_III
"(7207, 9620)",2,[9620],Fam7207=AbiEii__AbiEii
"(566, 1868)",2,[566],Fam1868=RM_Type_IV__Type_IV_REases
"(3729, 6526)",2,"[3729, 6526]",Pure_Novel_System
"(2932, 3257, 4366)",2,[4366],Fam2932=Retron__RT_Tot; Fam3257=Retron_XIII__WHSWIM
"(3838, 9238)",2,[3838],Fam9238=Zorya__ZorB
"(2668, 7530)",2,[2668],Fam7530=Zorya__ZorB
"(5263, 6690)",2,[5263],Fam6690=Eleos__LeoBC
"(3804, 6127)",2,[3804],Fam6127=Dodola__DolB
"(11335, 11790)",2,[11790],Fam11335=PfiAT__PfiA
"(7545, 9849)",2,"[7545, 9849]",Pure_Novel_System
"(7980, 10598)",2,[10598],Fam7980=AbiEii__AbiEii
"(2564, 8789)",2,[2564],Fam8789=Zorya__ZorB
"(4073, 6584)",2,[6584],Fam4073=PsyrTA__PsyrA
"(3864, 9573)",2,[3864],Fam9573=Wadjet__JetB_I
"(2016, 4718)",2,[2016],Fam4718=RM_Type_II__Type_II_REases
"(2798, 9333)",2,[2798],Fam9333=Zorya__ZorB
"(1098, 3597)",2,[3597],Fam1098=Wadjet__JetC_III
"(431, 4643)",2,[4643],Fam431=Wadjet__JetC_II
"(6298, 7991)",2,[6298],Fam7991=AbiEii__AbiEii
"(422, 4428, 9904)",2,"[4428, 9904]",Fam422=Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II
"(5461, 6127)",2,[5461],Fam6127=Dodola__DolB
"(1243, 11311)",2,"[1243, 11311]",Pure_Novel_System
"(6710, 9079, 9822)",2,[9079],Fam6710=CBASS__Cyclase_II; Fam9822=CBASS__Effector_2TM_S_2TMBeta
"(4919, 7528)",2,[7528],Fam4919=Menshen__NsnB
"(5361, 5444)",2,"[5361, 5444]",Pure_Novel_System
"(6771, 11122)",2,[11122],Fam6771=cas1_I_II_III_IV_V_VI_10
"(4925, 7576)",2,[4925],Fam7576=Gao_TerY__TerYA
"(558, 4167, 9659)",2,[4167],Fam558=Wadjet__JetC_I; Fam9659=Wadjet__JetB_I
"(2390, 5318)",2,[2390],Fam5318=CBASS__Phospholipase
"(1392, 2685)",2,[2685],Fam1392=RM_Type_III__Type_III_REases
"(1058, 2165)",2,[2165],Fam1058=RM_Type_II__Type_II_REases
"(5958, 6247)",2,[6247],Fam5958=RM_Type_II__Type_II_REases
"(7824, 9709)",2,[9709],Fam7824=AbiEii__AbiEii
"(3405, 9481)",2,[9481],Fam3405=DarTG__DarT
"(262, 742)",2,[262],Fam742=DdmDE__DdmE
"(6769, 8796)",2,[8796],Fam6769=PsyrTA__PsyrA
"(3067, 4217)",2,[4217],Fam3067=Gabija__GajA
"(1694, 11415)",2,[11415],Fam1694=GAPS2__GAPS2
"(382, 608)",2,[608],Fam382=RM_Type_II__Type_II_MTases
"(2370, 6334)",2,[2370],Fam6334=RM_Type_II__Type_II_REases
"(8122, 9712)",2,"[8122, 9712]",Pure_Novel_System
"(4399, 9938)",2,[4399],Fam9938=AbiL__AbiLii2
"(11993, 12467)",2,[12467],Fam11993=MazEF__MazF
"(1869, 8136)",2,[1869],Fam8136=RM_Type_II__Type_II_MTases
"(6946, 10154, 12233)",2,[10154],Fam6946=cas1_I_II_III_IV_V_VI_1; Fam12233=cas2_I_II_III_IV_V_VI_3
"(6558, 11198)",2,[6558],Fam11198=cas2_I_II_III_IV_V_VI_4
"(69, 1738)",2,[1738],Fam69=RM_Type_IIG__Type_IIG
"(418, 6495)",2,[6495],Fam418=Wadjet__JetC_III
"(359, 3913, 9288)",2,[3913],Fam359=Wadjet__JetC_I; Fam9288=Wadjet__JetB_I
"(11667, 11778)",2,[11778],Fam11667=cas6f_I_II_III_IV_V_VI_3
"(1069, 2399)",2,[2399],Fam1069=RM_Type_III__Type_III_REases
"(6146, 9901)",2,[9901],Fam6146=SanaTA__SanaT
"(8664, 9569)",2,[9569],Fam8664=Zorya__ZorB
"(4838, 11217)",2,[11217],Fam4838=PD-T4-4__PD-T4-4_A
"(429, 7309)",2,[429],Fam7309=Hachiman__HamA_1
"(7488, 9826)",2,[9826],Fam7488=AbiEii__AbiEii
"(980, 1120)",2,[1120],Fam980=RM_Type_III__Type_III_REases
"(3444, 7993)",2,[3444],Fam7993=Gao_TerY__TerYA
"(67, 3058, 5202)",2,[5202],Fam67=Wadjet__JetC_III; Fam3058=Wadjet__JetA_III
"(768, 1091)",2,[1091],Fam768=RM_Type_III__Type_III_REases
"(4238, 7901)",2,[4238],Fam7901=Zorya__ZorB
"(8361, 9970)",2,[9970],Fam8361=AbiEii__AbiEii
"(6616, 10144)",2,[6616],Fam10144=RM_Type_II__Type_II_MTases
"(11335, 11973)",2,[11973],Fam11335=PfiAT__PfiA
"(2104, 2538)",2,[2538],Fam2104=RM_Type_III__Type_III_REases
"(395, 961)",2,[395],Fam961=pAgo__pAgo_LongA
"(564, 3751, 5264, 10256)",2,[3751],Fam564=Wadjet__JetC_I; Fam5264=Wadjet__JetD_I; Fam10256=Wadjet__JetB_I
"(4979, 6138)",2,[6138],Fam4979=Septu__PtuA
"(607, 2787)",2,[2787],Fam607=Shango__SngB
"(7040, 9787)",2,[9787],Fam7040=SanaTA__SanaT
"(5124, 7323)",2,[7323],Fam5124=Gao_TerY__TerYA
"(2892, 8832)",2,[2892],Fam8832=Zorya__ZorB
"(8146, 11071)",2,[8146],Fam11071=FS_HsdR_like__HP
"(8413, 8528)",2,[8528],Fam8413=AbiEii__AbiEii
"(7260, 9905)",2,[9905],Fam7260=CBASS__Cyclase_SMODS
"(3283, 3291)",2,"[3283, 3291]",Pure_Novel_System
"(5087, 6702)",2,"[5087, 6702]",Pure_Novel_System
"(11206, 11206)",2,[11206],Pure_Novel_System
"(5686, 7508)",2,[5686],Fam7508=Gao_RL__RL_B
"(11698, 12305)",2,[12305],Fam11698=MazEF__MazF
"(276, 1040)",2,"[276, 1040]",Pure_Novel_System
"(7392, 9205)",2,[9205],Fam7392=AbiEii__AbiEii
"(7469, 10089)",2,[10089],Fam7469=SanaTA__SanaT
"(9525, 10390)",2,[10390],Fam9525=AbiEii__AbiEii
"(7353, 8872)",2,[8872],Fam7353=RM_Type_II__Type_II_MTases
"(4085, 6601)",2,[4085],Fam6601=Zorya__ZorB
"(2881, 3384, 8125)",2,[8125],Fam2881=Eleos__LeoBC; Fam3384=Eleos__LeoB
